SUA ID,FBS ID,Amount (g),Organic (%),Production waste (%),Retail waste (%),Consumer waste (%),Technical Improvement (% y/y),Origin
01443,2558,865.55,73.04,95.61,66.97,35.37,3.41,fr:33.01 es:21.53 dk:45.47
01442,2558,0.72,58.85,,,,,
23995.03,2558,226.68,85.57,,,,,
0143,2559,628.36,57.16,59.18,80.56,61.92,77.13,se:14.74 uk:42.99 es:36.07 ir:6.20
01460,2560,0.00,84.67,97.76,69.18,93.97,39.72,fr:17.86 se:82.14
21429.07,2560,331.47,89.64,,,,,
01492,2560,804.29,1.66,,,,,
01444,2561,870.88,51.15,88.98,22.52,70.12,50.51,dk:100.00
01491.01,2562,324.72,3.60,8.49,52.64,90.12,93.68,es:70.59 se:13.71 fr:13.00 uk:2.69 ir:0.02
01491.02,2562,618.00,26.99,,,,,
01450,2563,964.96,93.07,76.76,2.52,70.92,29.26,uk:74.38 de:2.85 ir:22.77
F0262,2563,685.00,25.30,,,,,
01499.01,2570,826.99,78.48,36.61,83.50,1.42,40.61,de:9.44 ir:90.56
01447,2570,525.93,14.35,,,,,
01499.02,2570,123.55,73.05,,,,,
01499.03,2570,0.00,61.78,,,,,
01446,2570,781.97,58.34,,,,,
01448,2570,521.84,78.43,,,,,
01449.01,2570,676.23,35.47,,,,,
01499.04,2570,281.10,22.56,,,,,
01499.05,2570,654.12,41.95,,,,,
01499.06,2570,18.18,96.16,,,,,
01499.07,2570,216.00,80.78,,,,,
01441,2570,567.95,3.03,,,,,
01449.02,2570,191.27,20.85,,,,,
01449.90,2570,460.80,76.70,,,,,
21920,2570,341.44,99.46,,,,,
2161,2571,0.00,78.42,92.80,26.70,40.39,83.83,dk:13.08 ir:35.03 se:51.88
2162,2572,878.63,45.21,34.40,77.52,19.24,21.90,de:64.72 dk:24.56 ir:9.36 uk:1.36
21631.01,2573,244.08,4.19,86.98,52.14,29.38,57.56,se:11.32 ir:88.68
21641.01,2574,996.10,88.53,82.43,37.03,70.56,89.31,de:32.08 dk:26.07 fr:37.24 uk:4.61
21641.02,2574,836.01,61.26,,,,,
2168,2575,0.00,12.69,15.26,62.19,61.85,56.27,dk:24.34 uk:41.46 fr:27.40 se:6.79
21691.14,2576,202.67,48.33,82.56,53.53,24.10,74.88,de:14.14 ir:56.96 uk:24.00 fr:4.18 dk:0.71
2165,2577,727.88,19.15,86.74,42.22,19.41,13.36,fr:75.96 ir:24.04
34120,2577,123.38,93.96,,,,,
21932.02,2577,0.00,71.92,,,,,
2166,2578,706.31,8.45,74.01,89.46,45.72,7.55,dk:52.07 es:40.38 de:1.49 fr:6.06
21691.07,2579,858.06,95.05,55.35,9.19,80.91,71.10,se:34.52 ir:65.48
2167,2580,293.31,93.07,55.53,96.69,88.70,78.15,dk:33.70 de:66.30
21673,2580,530.01,53.37,,,,,
21691.01,2581,220.57,78.46,8.39,31.65,42.59,19.81,uk:25.97 ir:74.03
21691.02,2582,830.41,30.40,9.63,91.37,18.85,7.22,ir:100.00
21691.03,2586,174.07,97.41,44.78,80.96,89.50,46.57,fr:34.53 dk:65.47
21691.04,2586,560.89,69.84,,,,,
21691.05,2586,808.14,47.02,,,,,
21691.06,2586,536.26,46.88,,,,,
21631.02,2586,204.92,19.48,,,,,
21691.08,2586,0.00,79.52,,,,,
21691.09,2586,180.22,47.57,,,,,
21691.1,2586,199.52,50.01,,,,,
21691.11,2586,822.66,22.27,,,,,
21691.12,2586,684.81,30.98,,,,,
21691.13,2586,25.98,80.03,,,,,
21691.90,2586,95.78,79.43,,,,,
23620,2586,0.00,2.77,,,,,
21700.01,2586,309.62,69.58,,,,,
21700.02,2586,966.89,63.99,,,,,
21693.02,2586,0.00,72.63,,,,,
34550,2586,180.24,50.16,,,,,
F1275,2586,212.90,53.21,,,,,
01234,2601,381.90,92.51,75.66,88.57,19.20,29.17,uk:2.92 fr:23.27 de:52.82 es:8.09 dk:12.90
21321,2601,226.96,6.04,,,,,
21399.01,2601,0.00,22.41,,,,,
21399.02,2601,289.62,19.38,,,,,
01253.02,2602,159.83,97.33,1.87,72.02,44.88,85.90,de:100.00
01212,2605,926.02,24.92,90.07,14.91,36.70,78.22,dk:100.00
01216,2605,244.60,64.75,,,,,
01211,2605,142.22,3.47,,,,,
01214,2605,347.56,98.00,,,,,
01215,2605,608.23,35.25,,,,,
01219.01,2605,0.00,51.51,,,,,
01213,2605,48.92,11.71,,,,,
01221,2605,117.15,93.41,,,,,
01229,2605,140.66,89.44,,,,,
01235,2605,865.73,19.06,,,,,
01232,2605,538.45,12.60,,,,,
01233,2605,814.00,93.31,,,,,
01231,2605,467.06,26.57,,,,,
01253.01,2605,874.27,68.34,,,,,
01252,2605,101.56,63.56,,,,,
01254,2605,630.32,43.28,,,,,
01241.90,2605,474.25,47.39,,,,,
01242,2605,316.53,91.95,,,,,
01243,2605,0.00,5.31,,,,,
01241.01,2605,676.61,18.80,,,,,
01251,2605,444.68,75.09,,,,,
01239.01,2605,12.23,19.51,,,,,
01290.01,2605,783.12,74.17,,,,,
21319.01,2605,661.31,67.39,,,,,
21399.03,2605,0.00,60.91,,,,,
01270,2605,779.41,66.63,,,,,
21393.01,2605,399.16,43.46,,,,,
21397.01,2605,219.62,43.59,,,,,
01691,2605,0.00,20.64,,,,,
01990.01,2605,438.65,89.52,,,,,
01356,2605,688.52,50.65,,,,,
01290.90,2605,72.44,99.06,,,,,
21329,2605,416.30,24.05,,,,,
21393.90,2605,731.90,52.86,,,,,
21340,2605,876.32,58.68,,,,,
F0472,2605,0.00,95.34,,,,,
F0473,2605,885.29,8.41,,,,,
21330.90,2605,713.65,47.11,,,,,
F0475,2605,192.03,40.04,,,,,
23991.02,2605,776.87,40.99,,,,,
23912.01,2605,777.28,86.73,,,,,
01323,2611,0.00,10.75,50.64,26.45,69.28,14.30,dk:96.94 uk:0.31 ir:1.80 es:0.68 de:0.27
21431.01,2611,410.89,21.27,,,,,
21431.02,2611,399.05,81.05,,,,,
01324,2611,602.82,39.67,,,,,
21439.01,2611,879.03,54.54,,,,,
01322,2612,402.13,85.92,15.17,23.36,89.94,52.25,dk:64.24 uk:33.15 es:2.61
21439.02,2612,26.48,93.38,,,,,
21439.03,2612,819.48,43.34,,,,,
01321,2613,534.78,93.14,5.90,21.16,63.25,38.18,fr:29.37 de:70.57 se:0.04 uk:0.02
21432,2613,363.70,33.36,,,,,
21432.01,2613,977.37,30.09,,,,,
01329,2614,969.70,24.45,57.22,51.01,8.82,99.98,se:55.44 fr:44.56
21439.04,2614,142.19,78.82,,,,,
21439.05,2614,452.07,13.90,,,,,
01312,2615,413.91,79.16,49.55,38.81,89.41,35.04,se:100.00
01313,2616,983.31,23.86,12.77,57.98,22.62,92.61,es:63.09 dk:17.85 se:10.44 uk:8.63
01341,2617,136.19,42.47,9.86,39.46,6.63,16.44,es:80.34 fr:8.96 se:10.63 de:0.04 ir:0.03
21435.01,2617,90.37,57.43,,,,,
21435.02,2617,175.68,32.72,,,,,
01318,2618,868.67,44.75,9.11,52.24,29.56,10.31,ir:71.27 de:13.86 uk:9.98 se:4.73 es:0.15
21491,2618,746.88,14.73,,,,,
21433,2618,696.11,49.89,,,,,
21433.01,2618,426.92,24.95,,,,,
01314,2619,553.11,19.93,57.74,79.86,3.41,80.37,es:53.15 dk:46.85
01330,2620,0.00,20.28,21.02,34.49,97.12,80.51,es:62.42 dk:28.50 de:0.24 se:4.17 uk:4.68
21411,2620,450.23,87.91,,,,,
21434,2620,223.58,13.29,,,,,
24212.01,2620,912.59,86.23,,,,,
01342.01,2625,160.49,20.56,78.84,6.98,55.99,23.12,uk:100.00
01342.02,2625,690.13,18.51,,,,,
01343,2625,234.61,67.76,,,,,
21419.01,2625,496.82,90.15,,,,,
01344.01,2625,730.57,70.31,,,,,
01344.02,2625,806.33,80.26,,,,,
01345,2625,2.75,37.44,,,,,
01346,2625,462.74,0.50,,,,,
21412,2625,245.87,66.24,,,,,
21439.06,2625,418.25,53.33,,,,,
21439.07,2625,397.83,6.64,,,,,
01349.20,2625,328.85,79.78,,,,,
01349.10,2625,297.80,25.95,,,,,
01354,2625,916.01,12.72,,,,,
01353.01,2625,146.84,6.87,,,,,
01351.02,2625,984.73,29.81,,,,,
01351.01,2625,319.12,88.30,,,,,
01355.01,2625,98.91,30.13,,,,,
01355.02,2625,907.23,87.65,,,,,
01355.90,2625,433.69,17.30,,,,,
01315,2625,324.79,4.95,,,,,
21419.02,2625,858.68,4.15,,,,,
01316,2625,651.71,52.51,,,,,
01311,2625,566.16,1.49,,,,,
21439.08,2625,0.00,73.29,,,,,
21499.01,2625,397.28,9.11,,,,,
01359.01,2625,135.89,21.17,,,,,
01359.02,2625,0.00,97.33,,,,,
01352,2625,1.03,94.20,,,,,
01317,2625,381.60,74.10,,,,,
01319,2625,744.05,50.07,,,,,
21419.91,2625,976.25,63.32,,,,,
01359.90,2625,799.59,83.06,,,,,
21419.99,2625,686.17,33.82,,,,,
21439.90,2625,656.97,13.83,,,,,
F0623,2625,0.00,17.67,,,,,
23170.04,2625,0.00,38.84,,,,,
23670.02,2625,825.10,56.19,,,,,
23991.03,2625,0.00,53.06,,,,,
01610,2630,571.59,75.08,2.85,30.94,49.77,30.83,dk:100.00
23911,2630,97.83,96.14,,,,,
23912.02,2630,70.31,16.31,,,,,
01640,2633,711.46,51.87,97.07,9.24,36.62,41.57,es:13.74 uk:79.78 dk:6.14 de:0.23 ir:0.11
23610.01,2633,455.23,89.42,,,,,
F0665,2633,556.09,37.80,,,,,
F0666,2633,222.27,30.83,,,,,
01620,2635,990.96,44.62,40.64,54.58,43.84,13.89,uk:100.00
01630,2635,60.17,66.76,,,,,
23914,2635,77.00,84.11,,,,,
01651,2640,851.30,1.87,51.67,5.76,16.64,1.78,ir:11.00 dk:12.59 fr:76.41
01652,2641,108.07,24.71,46.87,13.19,60.79,51.97,es:23.07 ir:76.93
01656,2642,351.87,52.16,78.43,97.42,44.65,35.14,ir:25.20 se:19.10 fr:12.92 de:5.67 dk:37.10
01699,2645,802.16,46.03,59.44,93.05,8.86,44.03,dk:95.43 es:4.57
01658,2645,355.92,15.58,,,,,
01655,2645,630.98,48.44,,,,,
01653,2645,567.87,94.45,,,,,
01654,2645,493.19,62.97,,,,,
01657,2645,605.80,28.40,,,,,
24212.02,2655,889.65,53.86,57.08,83.81,47.00,93.55,de:87.06 es:6.47 dk:5.66 se:0.12 ir:0.69
24220,2655,437.06,90.25,,,,,
24310.01,2656,715.34,17.11,88.54,5.54,84.05,15.62,uk:23.37 ir:52.04 fr:11.67 se:1.97 es:10.95
24230.01,2657,347.40,77.95,88.16,94.44,45.84,7.49,es:21.25 se:78.75
24230.02,2657,337.47,47.90,,,,,
24230.03,2657,318.79,49.75,,,,,
24310.02,2657,0.00,30.87,,,,,
24310.03,2657,616.06,57.37,,,,,
24310.04,2657,332.05,64.59,,,,,
2413,2658,239.83,18.17,85.53,41.27,43.68,49.30,dk:26.13 se:5.84 de:68.00 fr:0.00 es:0.03
24110,2659,482.26,75.68,11.29,26.93,20.50,91.02,dk:100.00
23991.01,2680,139.72,78.40,29.88,94.46,69.71,20.96,es:74.48 dk:9.26 se:16.26
F1232,2899,828.05,37.22,36.05,90.58,8.45,66.52,fr:80.01 ir:6.71 dk:13.28
21111.01,2731,0.00,58.32,53.01,99.52,31.31,25.81,fr:100.00
21111.02,2731,492.63,7.29,,,,,
21182,2731,265.41,48.65,,,,,
21185,2731,904.97,74.54,,,,,
21184.01,2731,8.70,66.48,,,,,
F0875,2731,626.79,76.77,,,,,
23991.04,2731,733.65,0.34,,,,,
21112,2731,66.00,8.40,,,,,
21115,2732,810.53,78.62,14.88,94.45,66.69,65.80,se:79.73 uk:20.27
21116,2732,94.98,28.06,,,,,
21113.01,2733,0.00,5.38,86.18,55.56,53.24,17.25,ir:3.49 se:85.76 de:10.74
21113.02,2733,153.12,53.52,,,,,
21181,2733,141.03,6.18,,,,,
21184.02,2733,739.88,52.28,,,,,
F1042,2733,978.06,47.88,,,,,
21121,2734,582.35,94.79,65.46,4.51,18.34,9.52,se:56.62 uk:43.38
21189.02,2734,322.22,39.19,,,,,
F1061,2734,124.98,94.44,,,,,
21122,2734,551.19,76.82,,,,,
21123,2734,0.00,78.93,,,,,
21124,2734,42.82,53.68,,,,,
21170.01,2735,0.00,28.03,38.40,6.49,79.60,78.08,de:47.58 ir:52.42
21118.01,2735,476.32,67.73,,,,,
21118.02,2735,190.25,48.55,,,,,
21118.03,2735,168.17,33.97,,,,,
21117.01,2735,886.53,15.01,,,,,
21114,2735,158.70,18.37,,,,,
21119.01,2735,852.70,24.14,,,,,
21170.02,2735,429.64,70.18,,,,,
21183,2735,364.00,50.81,,,,,
F1172,2735,594.64,32.27,,,,,
02920,2735,598.23,60.50,,,,,
21117.02,2735,91.75,35.79,,,,,
21170.92,2735,934.99,9.18,,,,,
21151,2736,152.40,91.95,23.06,73.31,91.17,87.20,dk:92.41 de:6.60 se:0.98
21189.01,2736,681.46,96.56,,,,,
21152,2736,524.57,91.97,,,,,
21155,2736,297.57,52.30,,,,,
21156,2736,376.48,97.29,,,,,
21153,2736,431.45,53.09,,,,,
21160.01,2736,406.74,91.24,,,,,
21160.02,2736,257.61,73.79,,,,,
21160.03,2736,675.55,87.51,,,,,
21160.04,2736,0.00,66.39,,,,,
21159.01,2736,389.90,11.52,,,,,
21159.02,2736,0.00,84.49,,,,,
21170.93,2736,0.00,19.19,,,,,
21512,2737,851.48,39.77,43.35,58.65,64.80,20.69,dk:59.92 es:40.08
21512.01,2737,769.61,66.48,,,,,
21513,2737,739.12,20.34,,,,,
21514,2737,848.63,86.59,,,,,
F0994,2737,415.32,16.21,,,,,
21515,2737,370.37,90.49,,,,,
21511.01,2737,52.10,44.97,,,,,
21511.02,2737,9.10,34.68,,,,,
21521,2737,988.73,12.43,,,,,
21511.03,2737,31.33,77.32,,,,,
21522,2737,668.95,44.70,,,,,
21519.02,2737,554.98,16.12,,,,,
21519.03,2737,407.78,11.16,,,,,
21529.03,2737,910.68,37.05,,,,,
21529.02,2737,60.18,20.10,,,,,
21932.01,2737,812.66,63.53,,,,,
21523,2737,0.00,70.76,,,,,
F1243,2737,968.19,68.70,,,,,
22241.01,2740,584.29,15.41,94.68,5.68,40.17,34.31,de:92.22 dk:4.71 fr:3.07
22241.02,2740,622.90,99.58,,,,,
22242.01,2740,150.34,54.38,,,,,
22242.02,2740,963.34,46.75,,,,,
22249.01,2740,633.70,33.48,,,,,
22249.02,2740,866.35,54.61,,,,,
22120,2743,900.49,83.20,13.78,43.39,24.02,75.27,uk:8.40 dk:91.60
02211,2848,889.40,57.46,40.25,98.24,5.61,49.87,uk:60.56 fr:6.33 ir:33.10
22110.02,2848,211.44,61.00,,,,,
22222.01,2848,362.74,96.98,,,,,
22130.03,2848,382.53,67.84,,,,,
22230.01,2848,650.15,80.00,,,,,
22230.02,2848,0.00,38.62,,,,,
22230.03,2848,520.85,72.14,,,,,
22221.01,2848,711.91,41.86,,,,,
22221.02,2848,192.30,87.74,,,,,
22222.02,2848,779.74,30.59,,,,,
22211,2848,37.31,23.24,,,,,
22212,2848,207.56,51.54,,,,,
22230.04,2848,315.07,84.48,,,,,
22130.02,2848,0.00,15.49,,,,,
22251.01,2848,498.84,78.83,,,,,
22130.01,2848,512.53,47.21,,,,,
22251.02,2848,116.82,22.80,,,,,
22251.03,2848,891.67,19.64,,,,,
22251.04,2848,556.11,29.10,,,,,
22110.03,2848,268.56,72.95,,,,,
22290,2848,797.57,69.21,,,,,
22270,2848,209.08,89.86,,,,,
22260,2848,457.75,63.79,,,,,
02212,2848,8.11,39.48,,,,,
22110.04,2848,87.48,21.69,,,,,
22252,2848,60.69,0.64,,,,,
02291,2848,554.43,23.27,,,,,
22253,2848,941.98,36.10,,,,,
22110.05,2848,266.35,1.89,,,,,
02292,2848,850.08,98.19,,,,,
22254,2848,747.26,25.68,,,,,
22110.06,2848,245.21,53.82,,,,,
02293,2848,0.00,53.61,,,,,
0231,2744,63.44,27.38,53.45,26.30,67.19,16.44,se:2.86 dk:26.83 ir:27.91 uk:38.85 fr:3.56
23993.02,2744,111.27,76.46,,,,,
23993.03,2744,562.27,40.69,,,,,
0232,2744,907.68,90.33,,,,,
