Food code,Food name,FoodEx2 code,FoodEx2 name,Facet(s) code,Facet(s) description,Reverse yield factor,Source(s),Reference(s),Reference link
A.01.02.004,Rye grain,A001K,Rye grain,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.01.02.004,Rye grain,A001K,Rye grain,F28.A0C03$F02.A067Y,"PROCESS=Grain milling, PART-NATURE=Bran (as part-nature)",5.88,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Rye bran => Rye),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.004,Rye grain,A001K,Rye grain,F28.A0C03$F02.A067Z$F10.A06HR,"PROCESS=Grain milling, PART-NATURE=Flour/meal or finely ground powder (as part-nature), QUALITATIVE-INFO=Integral /not refined",1.18,Literature,"FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Flour => Rye, upper bound)",http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.004,Rye grain,A001K,Rye grain,F28.A0C03$F02.A067Z$F10.A07XK,"PROCESS=Grain milling, PART-NATURE=Flour/meal or finely ground powder (as part-nature), QUALITATIVE-INFO=White/refined",1.43,Literature,"FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Flour => Rye, lower bound)",http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.004,Rye grain,A001K,Rye grain,F28.A0C03$F02.A067Z$F10.A0EZZ,"PROCESS=Grain milling, PART-NATURE=Flour/meal or finely ground powder (as part-nature), QUALITATIVE-INFO=Semi-refined",1.25,Literature,"FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Flour => Rye, middle bound)",http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.004,Rye grain,A001K,Rye grain,F28.A0C03$F02.A068C,"PROCESS=Grain milling, PART-NATURE=Semolina or coarse ground powder (as part-nature)",1.43,Extrapolation,based on 'refined rye flour',
A.01.02.004,Rye grain,A001K,Rye grain,F28.A0C0B,PROCESS=Starch production,1.49,Extrapolation,based on 'wheat',
A.01.02.005,Spelt grain,A001R,Spelt grain,F28.A07LG,PROCESS=Flaking,1.18,Extrapolation,based on 'wheat',
A.01.02.005,Spelt grain,A001R,Spelt grain,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.01.02.005,Spelt grain,A001R,Spelt grain,F28.A0C03$F02.A067Z$F10.A06HR,"PROCESS=Grain milling, PART-NATURE=Flour/meal or finely ground powder (as part-nature), QUALITATIVE-INFO=Integral /not refined",1.11,Extrapolation,based on 'wheat',
A.01.02.005,Spelt grain,A001R,Spelt grain,F28.A0C03$F02.A068C,"PROCESS=Grain milling, PART-NATURE=Semolina or coarse ground powder (as part-nature)",1.43,Extrapolation,based on 'refined wheat flour',
A.01.02.006,Buckwheat grain,A000N,Buckwheat,F28.A07LA,PROCESS=Grinding / milling / crushing,1.00,Assumption,Default value of 1,
A.01.02.006,Buckwheat grain,A000N,Buckwheat,F28.A07LH,PROCESS=Flattening / rolling,1.00,Assumption,Default value of 1,
A.01.02.006,Buckwheat grain,A000N,Buckwheat,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.01.02.006,Buckwheat grain,A000N,Buckwheat,F28.A0C03$F02.A067Z,"PROCESS=Grain milling, PART-NATURE=Flour/meal or finely ground powder (as part-nature)",1.33,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Flour => Buckwheat),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.007,Millet grain,A001B,Common millet grain,F28.A07LA,PROCESS=Grinding / milling / crushing,1.00,Assumption,Default value of 1,
A.01.02.007,Millet grain,A001B,Common millet grain,F28.A07LG,PROCESS=Flaking,2.60,Extrapolation,based on 'corn',
A.01.02.007,Millet grain,A001B,Common millet grain,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.01.02.007,Millet grain,A001B,Common millet grain,F28.A0C03$F02.A067Z,"PROCESS=Grain milling, PART-NATURE=Flour/meal or finely ground powder (as part-nature)",1.16,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Flour => Millet),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.008,"Oats, grain",A000G,Oat grain,F28.A07LA,PROCESS=Grinding / milling / crushing,1.00,Assumption,Default value of 1,
A.01.02.008,"Oats, grain",A000G,Oat grain,F28.A07LH,PROCESS=Flattening / rolling,1.56,Literature,"USDA (1992), Weights, Measures, and Conversion Factors for Agricultural Commodities and Their Products || (Breakfast cereal => Oat)",https://naldc.nal.usda.gov/download/CAT92978524/PDF
A.01.02.008,"Oats, grain",A000G,Oat grain,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.01.02.008,"Oats, grain",A000G,Oat grain,F28.A0C03$F02.A067Y,"PROCESS=Grain milling, PART-NATURE=Bran (as part-nature)",5.56,Extrapolation,based on 'wheat bran',
A.01.02.008,"Oats, grain",A000G,Oat grain,F28.A0C03$F02.A067Z,"PROCESS=Grain milling, PART-NATURE=Flour/meal or finely ground powder (as part-nature)",1.59,Literature,"USDA (1992), Weights, Measures, and Conversion Factors for Agricultural Commodities and Their Products || (Flour => Oat)",https://naldc.nal.usda.gov/download/CAT92978524/PDF
A.01.02.008,"Oats, grain",A000G,Oat grain,F28.A0C03$F02.A068C,"PROCESS=Grain milling, PART-NATURE=Semolina or coarse ground powder (as part-nature)",1.59,Extrapolation,based on 'oat flour',
A.01.02.009,Rice,A001D,Rice grain,F28.A07GG,PROCESS=Cooking in water,0.34,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Rice long corn polished, PROCESS=boiled)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.01.02.009,Rice,A001D,Rice grain,F28.A07LG,PROCESS=Flaking,1.17,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Breakfast cereal => Husked rice),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.009,Rice,A001D,Rice grain,F28.A07LL,PROCESS=Puffing / expanding,1.17,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Breakfast cereal => Husked rice),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.009,Rice,A001D,Rice grain,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.01.02.009,Rice,A001D,Rice grain,F28.A0BZV,PROCESS=Polishing,1.11,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Milled husked rice => Husked rice),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.009,Rice,A001D,Rice grain,F28.A0BZV$F28.A07GG,"PROCESS=Polishing, PROCESS=Cooking in water",0.38,Assumption,Combined factors for polishing and cooking in water,
A.01.02.009,Rice,A001D,Rice grain,F28.A0BZV$F28.A07LK,"PROCESS=Polishing, PROCESS=Parboiling / pre-gelatinising",1.11,Extrapolation,based on 'polished rice',
A.01.02.009,Rice,A001D,Rice grain,F28.A0C03$F02.A067Z,"PROCESS=Grain milling, PART-NATURE=Flour/meal or finely ground powder (as part-nature)",1.17,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Rice flour => Husked rice),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.009,Rice,A001D,Rice grain,F28.A0C0B,PROCESS=Starch production,1.31,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Starch => Husked rice),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.01.02.009.007,"Rice, wild",A001J,Indian rice grain,F28.A07GG,PROCESS=Cooking in water,0.34,Extrapolation,based on 'unpolished and cooked rice',
A.01.02.009.007,"Rice, wild",A001J,Indian rice grain,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.01.001,Arrowroot (Maranta arundinacea),A010G,Arrowroots,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.01.002,Beetroot (Beta vulgaris subsp. vulgaris),A00QG,Beetroots,F28.A07LN,PROCESS=Juicing,2.00,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Beetroots juice, PROCESS=prepared by juice centrifuge)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.02.01.002,Beetroot (Beta vulgaris subsp. vulgaris),A00QG,Beetroots,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.01.003,Carrots (Daucus carota),A00QH,Carrots,F28.A07GG,PROCESS=Cooking in water,1.06,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Carrot, PROCESS=boiled)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.02.01.003,Carrots (Daucus carota),A00QH,Carrots,F28.A07GG$F28.A0C6N,"PROCESS=Cooking in water, PROCESS=Pulping / mashing",1.06,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Carrot, PROCESS=boiled)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.02.01.003,Carrots (Daucus carota),A00QH,Carrots,F28.A07GM,PROCESS=Stewing,1.04,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Carrots, PROCESS=stewed)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.02.01.003,Carrots (Daucus carota),A00QH,Carrots,F28.A07GR,PROCESS=Frying,1.06,Extrapolation,based on 'boiled carrots',
A.02.01.003,Carrots (Daucus carota),A00QH,Carrots,F28.A07KC,PROCESS=Pickling,1.00,Assumption,Default value of 1,
A.02.01.003,Carrots (Daucus carota),A00QH,Carrots,F28.A07LN,PROCESS=Juicing,2.08,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Carrot juice, PROCESS=prepared by juice centrifuge)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.02.01.003,Carrots (Daucus carota),A043L,Vegetable savoury extracts,F28.A07MJ,PROCESS=Extraction,1.00,Not converted to RPC,Not converted to RPC,
A.02.01.003,Carrots (Daucus carota),A00QH,Carrots,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.01.003,Carrots (Daucus carota),A00QH,Carrots,F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.06,Extrapolation,based on 'boiled carrots',
A.02.01.004,Celeriac (Apium graveolens var. rapaceum),A00QJ,Celeriacs,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.01.005,Horseradish (Armoracia rusticana),A00QK,Horseradish roots,F28.A07KG$F28.A07LA,"PROCESS=Drying (dehydration), PROCESS=Grinding / milling / crushing",4.00,Literature,"USDA (1992), Weights, Measures, and Conversion Factors for Agricultural Commodities and Their Products || (Dried => Horseradish)",https://naldc.nal.usda.gov/download/CAT92978524/PDF
A.02.01.005,Horseradish (Armoracia rusticana),A00QK,Horseradish roots,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.01.006,Parsley root (Petroselinum crispum),A00QS,Parsley roots,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.01.007,Parsnips (Pastinaca sativa),A00QR,Parsnip roots,F28.A07GG$F28.A0C6N,"PROCESS=Cooking in water, PROCESS=Pulping / mashing",1.06,Literature,"National Food Administration, Bergstrom (1994), Nutrient losses and gains in the preparation of foods: NLG project J.Food Chemistry 57(1):77-78 || (FOOD/DISH=Parsnips, PROCESS=peeled, boiled, +6%)",http://www.fao.org/uploads/media/Bergstroem_1994_32_Livsmedelsverket_nutrient_losses_and_gains.pdf
A.02.01.007,Parsnips (Pastinaca sativa),A043L,Vegetable savoury extracts,F28.A07MJ,PROCESS=Extraction,1.00,Not converted to RPC,Not converted to RPC,
A.02.01.007,Parsnips (Pastinaca sativa),A00QR,Parsnip roots,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.01.008,Radishes (Raphanus sativus var. sativus),A00QV,Radishes,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.01.009,Salsify (Tragopogon porrifolius),A00RA,Salsifies,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.01.010,Swedes (Brassica napus var. napobrassica),A00RD,Swedes,F28.A07GG$F28.A0C6N,"PROCESS=Cooking in water, PROCESS=Pulping / mashing",1.06,Literature,"National Food Administration, Bergstrom (1994), Nutrient losses and gains in the preparation of foods: NLG project J.Food Chemistry 57(1):77-78 || (FOOD/DISH=Swede/Swede diced, PROCESS=boiled, N=2)",http://www.fao.org/uploads/media/Bergstroem_1994_32_Livsmedelsverket_nutrient_losses_and_gains.pdf
A.02.01.010,Swedes (Brassica napus var. napobrassica),A00RD,Swedes,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.01.012,Turnips (Brassica rapa),A00RE,Turnips,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.02.001,"Garlic, bulb (Allium sativum)",A00GZ,Garlic,F28.A07KG$F28.A07LA,"PROCESS=Drying (dehydration), PROCESS=Grinding / milling / crushing",4.00,Literature,"USDA (1992), Weights, Measures, and Conversion Factors for Agricultural Commodities and Their Products || (Dried => Garlic)",https://naldc.nal.usda.gov/download/CAT92978524/PDF
A.02.02.001,"Garlic, bulb (Allium sativum)",A00GZ,Garlic,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.02.001,"Garlic, bulb (Allium sativum)",A00GZ,Garlic,F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.00,Assumption,Default value of 1,
A.02.02.002,"Onions, bulb (Allium cepa)",A00HC,Onions,F28.A07GG,PROCESS=Cooking in water,1.17,Literature,"National Food Administration, Bergstrom (1994), Nutrient losses and gains in the preparation of foods: NLG project J.Food Chemistry 57(1):77-78 || (FOOD/DISH=Onion/Onion new/Onion old, PROCESS=boiled, N=4)",http://www.fao.org/uploads/media/Bergstroem_1994_32_Livsmedelsverket_nutrient_losses_and_gains.pdf
A.02.02.002,"Onions, bulb (Allium cepa)",A00HC,Onions,F28.A07GM,PROCESS=Stewing,1.17,Extrapolation,based on 'boiled onion',
A.02.02.002,"Onions, bulb (Allium cepa)",A00HC,Onions,F28.A07GR,PROCESS=Frying,1.61,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Onion transparent/brown, PROCESS=fry in pan, N=2)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.02.02.002,"Onions, bulb (Allium cepa)",A00HC,Onions,F28.A07GZ,PROCESS=Broiling/grilling,1.17,Extrapolation,based on 'boiled onion',
A.02.02.002,"Onions, bulb (Allium cepa)",A00HC,Onions,F28.A07KC,PROCESS=Pickling,1.00,Assumption,Default value of 1,
