"id","exposure","gruppo","code",,"Our approximation",
4586,"L5","Cheese, burrata","14.23.161.1037.1700",,"A.08.08.035","Cheese, Burrata"
2990,"L5","Cheese, feta","14.23.57.67.104",,"A.08.08.069","Cheese, Feta"
4056,"L5","Cheese, mizithra","14.23.161.749.1170",,"A.08.08.115","Cheese, Mizithra"
3779,"L5","Chicken liver","13.10.292.609.893",,"A.06.06.005","Chicken liver"
3282,"L5","Chocolate cake","10.36.64.278.396",,"A.01.07.001.006","Chocolate cake"
3116,"L5","Chocolate sauce","17.30.91.158.230",,"A.10.05.002","Chocolate sauce"
3159,"L5","Chocolate spread","19.27.90.189.273",,"I.10.03.004.001","Chocolate spread"
4752,"L5","Chocolate substitutes","19.27.90.1121.1866",,"A.10.03.014","Chocolate substitutes"
3292,"L5","Choux pastry","10.36.92.285.406",,"I.01.07.001.049","Choux pastry"
3410,"L5","Cider","1.111.432.377.524",,"A.14.04.001","Cider"
3458,"L5","Cocoa beverage-preparation, powder","3.57.201.410.572",,"A.02.11.003","Cocoa beverage-preparation, powder"
3449,"L5","Cocoa powder","3.57.98.405.563",,"A.02.11.002","Cocoa powder"
4418,"L5","Cod liver","6.39.144.929.1532",,"I.07.03.002.001","Cod liver"
4285,"L5","Coffee beans, roasted","3.57.103.409.1399",,"A.02.12.002","Coffee beans, roasted"
4641,"L5","Coffee drink, café macchiato","3.55.100.394.1755",,"A.13.03.004","Coffee drink, café macchiato"
3438,"L5","Coffee drink, cappuccino","3.55.100.394.552",,"A.13.03.003","Coffee drink, cappuccino"
3379,"L5","Coffee liqueur","1.105.217.360.493",,"A.14.05.004","Coffee liqueur"
3338,"L5","Cola beverages, caffeinic","21.109.358.328.452",,"A.13.01.003","Cola beverages, caffeinic"
3340,"L5","Cola beverages, decaffeinated","21.109.358.328.454",,"A.13.01.004","Cola beverages, decaffeinated"
4082,"L5","Coriander leaves","20.54.32.668.1196",,"I.16.01.015","Coriander leaves"
3960,"L5","Corn chips","4.47.89.69.1074",,"A.20.01.002","Corn chips"
2996,"L5","Corn curls","4.47.89.72.110",,"A.20.01.004","Corn curls"
4553,"L5","Corn syrup","19.100.385.206.1667",,"A.10.06.004","Corn syrup"
3704,"L5","Couscous","10.76.280.314.818",,"A.01.03.001.007","Couscous"
3284,"L5","Cream cake","10.36.64.280.398",,"A.01.07.001.008","Cream cake"
3380,"L5","Cream liqueur","1.105.217.361.494",,"A.14.05.007","Cream liqueur"
3058,"L5","Cream powder","14.69.246.116.172",,"A.08.05.001.006","Cream powder"
3692,"L5","Cream-cheese strudel","10.36.283.550.806",,"A.01.07.001.039","Cream-cheese strudel"
4529,"L5","Crisp bread, rye wholemeal","10.18.113.518.1643",,"A.01.04.005.001","Crisp bread, rye wholemeal"
3192,"L5","Crisp bread, wheat, wholemeal","10.18.113.214.306",,"A.01.04.005.003","Crisp bread, wheat, wholemeal"
3317,"L5","Croissant","10.36.434.310.431",,"A.01.07.001.012","Croissant"
3693,"L5","Croissant from puff pastry","10.36.283.551.807",,"A.01.07.001.041","Croissant from puff pastry"
3701,"L5","Croissant, filled with chocolate","10.36.434.310.815",,"A.01.07.001.013","Croissant, filled with chocolate"
3703,"L5","Croissant, filled with cream","10.36.434.310.817",,"A.01.07.001.014","Croissant, filled with cream"
4150,"L5","Croissant, filled with jam","10.36.434.310.1264",,"A.01.07.001.015","Croissant, filled with jam"
3820,"L5","Croutons","10.18.13.633.934",,"A.01.04.007.002","Croutons"
4383,"L5","Curry powder","17.89.346.914.1497",,"A.16.03.002","Curry powder"
3072,"L5","Curry sauce","17.26.343.129.186",,"A.16.05.012","Curry sauce"
3431,"L5","Custard","14.29.117.387.545",,"A.20.02.004","Custard"
3958,"L5","Dehydrated/powdered fruit juice","9.25.175.708.1072",,"A.12.05","Dehydrated/powdered fruit juice"
4078,"L5","Doner kebab","4.31.340.63.1192",,"I.19.01.001.012","Doner kebab"
3478,"L5","Dragée, sugar coated","19.27.67.181.592",,"A.10.04.008","Dragée, sugar coated"
4468,"L5","Duck eggs","5.104.429.969.1582",,"A.09.01.005","Duck eggs"
3293,"L5","Éclair","10.36.92.286.407",,"A.01.07.001.018","Éclair"
3381,"L5","Egg liqueur","1.105.217.362.495",,"A.14.05.005","Egg liqueur"
3012,"L5","Extra hard cheese (parmesan, grana type)","14.23.326.86.126",,"I.08.08.193","Extra hard cheese (parmesan, grana type)"
4236,"L5","Fiber supplements","16.46.256.830.1350",,"A.18.02.006","Fiber supplements"
3017,"L5","Firm/semi-hard cheese (gouda and edam type)","14.23.326.86.131",,"I.08.08.191","Firm/semi-hard cheese (gouda and edam type)"
4895,"L5","Fish and rice meal","4.31.126.43.2009",,"A.19.06.002","Fish and rice meal"
3464,"L5","Fish balls","4.31.126.43.578",,"A.07.02.001","Fish balls"
3466,"L5","Fish gratin","4.31.126.43.580",,"I.19.06.007","Fish gratin"
3493,"L5","Fish soup","4.91.361.428.607",,"A.19.10.005","Fish soup"
2937,"L5","Fishcakes","4.31.126.43.51",,"A.07.02.002","Fishcakes"
3479,"L5","Foamed sugar products (marshmallows)","19.27.67.183.593",,"A.10.04.010","Foamed sugar products (marshmallows)"
4741,"L5","Follow-on formula, based on protein hydrolysates, liquid","7.56.153.132.1855",,"A.17.04.005","Follow-on formula, based on protein hydrolysates, liquid"
4744,"L5","Follow-on formula, based on protein hydrolysates, powder","7.56.153.896.1858",,"A.17.03.005","Follow-on formula, based on protein hydrolysates, powder"
3080,"L5","Follow-on formula, milk-based, liquid","7.56.153.132.194",,"A.17.04.001","Follow-on formula, milk-based, liquid"
4348,"L5","Follow-on formula, milk-based, powder","7.56.153.896.1462",,"A.17.03.001","Follow-on formula, milk-based, powder"
3083,"L5","Follow-on formula, soya-based, liquid","7.56.153.132.197",,"A.17.04.003","Follow-on formula, soya-based, liquid"
3972,"L5","Follow-on formulae, liquid","7.56.153.132.1086",,"A.17.04","Follow-on formulae, liquid"
4448,"L5","Follow-on formulae, powder","7.56.153.896.1562",,"A.17.03","Follow-on formulae, powder"
3836,"L5","Food for weight reduction","16.45.158.642.950",,"A.18.01","Food for weight reduction"
2998,"L5","Fresh uncured cheese","14.23.161.73.112",,"I.08.08.188","Fresh uncured cheese"
3018,"L5","Fried eggs","5.79.189.88.132",,"A.19.08.006","Fried eggs"
3496,"L5","Fructose","19.100.381.197.610",,"A.10.01.007","Fructose"
3288,"L5","Fruit cake","10.36.64.280.402",,"A.01.07.001.020","Fruit cake"
4302,"L5","Fruit chips","8.80.128.867.1416",,"A.05.09.003","Fruit chips"
3609,"L5","Fruit compote, mixed fruit","8.80.165.185.723",,"A.05.09.007.012","Fruit compote, Mixed fruit"
3485,"L5","Fruit salad","4.91.336.420.599",,"A.05.09.002","Fruit salad"
4384,"L5","Fudge","19.27.383.915.1498",,"A.10.04.007","Fudge"
3930,"L5","Fudge sauce","17.30.177.697.1044",,"A.10.05.003","Fudge sauce"
3758,"L5","Gelatine","12.58.182.591.872",,"A.16.10.008","Gelatine"
4390,"L5","Ghee","2.5.118.384.1504",,"A.11.01.003","Ghee"
3394,"L5","Gin","1.105.403.370.508",,"A.14.06.003","Gin"
3308,"L5","Gingerbread","10.36.405.301.422",,"A.01.07.001.024","Gingerbread"
3321,"L5","Glass noodle","10.76.280.314.435",,"A.01.05.001","Glass noodle"
3172,"L5","Glucose","19.100.381.197.286",,"A.10.01.008","Glucose"
3832,"L5","Goat milk","14.70.244.638.946",,"A.08.01.005","Goat milk"
4142,"L5","Goose liver","13.10.292.656.1256",,"A.06.06.008","Goose liver"
4216,"L5","Gougere","10.36.92.819.1330",,"A.01.07.001.025","Gougere"
4834,"L5","Goulash","4.31.126.47.1948",,"A.19.05.003","Goulash"
4356,"L5","Graham flour","10.22.78.254.1470",,"A.01.03.001.005","Graham flour"
4127,"L5","Granita","19.110.423.782.1241",,"A.20.02.007","Granita"
3424,"L5","Grape seed oil","2.5.406.16.538",,"A.11.04.005","Grape seed oil"
4627,"L5","Gravy browning","17.87.186.1054.1741",,"A.16.04.010","Gravy browning"
4510,"L5","Gravy instant granules","17.87.186.1001.1624",,"A.16.04.011","Gravy instant granules"
3122,"L5","Gravy thickener","17.87.186.164.236",,"A.16.04.009","Gravy thickener"
3934,"L5","Gum drops","19.27.67.183.1048",,"A.10.04.012","Gum drops"
2940,"L5","Ham, beef","13.83.312.45.54",,"A.06.08.002","Ham, beef"
2944,"L5","Ham, pork","13.83.312.46.58",,"A.06.08.001","Ham, pork"
3026,"L5","Hard cheese (cheddar, emmental type)","14.23.326.86.140",,"I.08.08.192","Hard cheese (cheddar, emmental type)"
3383,"L5","Herb liqueur","1.105.217.364.497",,"A.14.05.002","Herb liqueur"
4169,"L5","Honey, blended","19.100.199.803.1283",,"A.10.07.003","Honey, blended"
4125,"L5","Honey, monofloral","19.100.199.780.1239",,"A.10.07.001","Honey, monofloral"
4126,"L5","Honey, polyfloral","19.100.199.781.1240",,"A.10.07.002","Honey, polyfloral"
3075,"L5","Horseradish sauce","17.26.343.129.189",,"A.16.05.009","Horseradish sauce"
3707,"L5","Hot chocolate","3.55.97.555.821",,"A.13.05.001","Hot chocolate"
4446,"L5","Human milk","14.70.244.955.1560",,"A.08.01.009","Human milk"
3712,"L5","Iced coffee","3.55.100.557.826",,"A.13.03.005","Iced coffee"
3454,"L5","Imitation cream","16.66.120.124.568",,"A.08.09.002","Imitation cream"
4745,"L5","Infant formula, based on protein hydrolysates, liquid","7.56.203.740.1859",,"A.17.02.005","Infant formula, based on protein hydrolysates, liquid"
4449,"L5","Infant formula, based on protein hydrolysates, powder","7.56.203.741.1563",,"A.17.01.005","Infant formula, based on protein hydrolysates, powder"
4041,"L5","Infant formula, milk-based, liquid","7.56.203.740.1155",,"A.17.02.001","Infant formula, milk-based, liquid"
4450,"L5","Infant formula, milk-based, powder","7.56.203.741.1564",,"A.17.01.001","Infant formula, milk-based, powder"
4708,"L5","Infant formula, soya-based, liquid","7.56.203.740.1822",,"A.17.02.003","Infant formula, soya-based, liquid"
4830,"L5","Infant formula, soya-based, powder","7.56.203.741.1944",,"A.17.01.003","Infant formula, soya-based, powder"
4886,"L5","Infant formulae, liquid","7.56.203.740.2000",,"A.17.02","Infant formulae, liquid"
4042,"L5","Infant formulae, powder","7.56.203.741.1156",,"A.17.01","Infant formulae, powder"
4144,"L5","Jam, mixed fruit","8.80.165.186.1258",,"A.05.08.001.018","Jam, Mixed fruit"
3143,"L5","Jelly candies","19.27.67.183.257",,"A.10.04.013","Jelly candies"
4848,"L5","Juice concentrate, sweet cherry","9.25.174.892.1962",,"A.12.02.012","Juice concentrate, Sweet cherry"
3169,"L5","Juice, apple","9.48.169.194.283",,"A.12.01.001","Juice, Apple"
3813,"L5","Juice, apple-cherry","9.48.169.203.927",,"A.12.04.002","Juice, Apple-Cherry"
4206,"L5","Juice, apple-grape","9.48.169.203.1320",,"A.12.04.001","Juice, Apple-Grape"
4454,"L5","Juice, apricot","9.48.169.960.1568",,"A.12.01.013","Juice, Apricot"
3628,"L5","Juice, apricot-orange","9.48.169.203.742",,"A.12.04.007","Juice, Apricot-Orange"
3631,"L5","Juice, beetroot","9.48.407.511.745",,"A.12.06.004","Juice, Beetroot"
4397,"L5","Juice, blackberry","9.48.169.921.1511",,"A.12.01.015","Juice, Blackberry"
3184,"L5","Juice, carrot","9.48.407.207.298",,"A.12.06.002","Juice, Carrot"
3632,"L5","Juice, celery","9.48.407.512.746",,"A.12.06.003","Juice, Celery"
4099,"L5","Juice, cranberry","9.48.169.764.1213",,"A.12.01.007","Juice, Cranberry"
3625,"L5","Juice, elderberry","9.48.169.506.739",,"A.12.01.019","Juice, Elderberry"
3171,"L5","Juice, grape","9.48.169.196.285",,"A.12.01.006","Juice, Grape"
3173,"L5","Juice, grapefruit","9.48.169.198.287",,"A.12.01.003","Juice, Grapefruit"
4605,"L5","Juice, guava","9.48.169.1046.1719",,"A.12.01.021","Juice, Guava"
3175,"L5","Juice, lemon","9.48.169.200.289",,"A.12.01.010","Juice, Lemon"
3981,"L5","Juice, lime","9.48.169.717.1095",,"A.12.01.011","Juice, Lime"
4725,"L5","Juice, mandarin-banana","9.48.169.203.1839",,"A.12.04.006","Juice, Mandarin-Banana"
3177,"L5","Juice, orange","9.48.169.201.291",,"A.12.01.002","Juice, Orange"
3983,"L5","Juice, orange-grapefruit","9.48.169.203.1097",,"A.12.04.003","Juice, Orange-Grapefruit"
3814,"L5","Juice, orange-peach","9.48.169.203.928",,"A.12.04.008","Juice, Orange-Peach"
3812,"L5","Juice, passion fruit","9.48.169.629.926",,"A.12.01.020","Juice, Passion fruit"
3982,"L5","Juice, peach","9.48.169.718.1096",,"A.12.01.009","Juice, Peach"
3626,"L5","Juice, pear","9.48.169.507.740",,"A.12.01.012","Juice, Pear"
3179,"L5","Juice, pineapple","9.48.169.202.293",,"A.12.01.004","Juice, Pineapple"
4146,"L5","Juice, pomegranate","9.48.169.790.1260",,"A.12.01.008","Juice, Pomegranate"
3984,"L5","Juice, potato","9.48.407.719.1098",,"A.12.06.006","Juice, Potato"
4474,"L5","Juice, prune","9.48.169.970.1588",,"A.12.01.017","Juice, Prune"
3633,"L5","Juice, tomato","9.48.407.513.747",,"A.12.06.001","Juice, Tomato"
3634,"L5","Juice, white cabbage","9.48.407.514.748",,"A.12.06.005","Juice, White cabbage"
3048,"L5","Kefir","14.35.140.108.162",,"A.08.06.007","Kefir"
4729,"L5","Kringles","10.36.434.1109.1843",,"A.01.07.001.026","Kringles"
3867,"L5","Lactose","19.100.381.197.981",,"A.08.07.001","Lactose"
3698,"L5","Lebkuchen","10.36.405.301.812",,"A.01.07.001.044","Lebkuchen"
3513,"L5","Legume (beans) soup","4.91.361.440.627",,"A.19.10.006","Legume (beans) soup"
4669,"L5","Lemon essence","12.44.136.1076.1783",,"A.16.09.005","Lemon essence"
3425,"L5","Linseed oil","2.5.406.16.539",,"A.11.04.006","Linseed oil"
3146,"L5","Liquorice candies","19.27.67.183.260",,"A.10.04.011","Liquorice candies"
3894,"L5","Lovage leaves","20.54.32.668.1008",,"I.16.01.016","Lovage leaves"
3304,"L5","Macaroons","10.36.405.297.418",,"A.01.07.001.043","Macaroons"
4166,"L5","Main-crop potatoes","18.97.289.174.1280",,"A.03.01.002","Main-crop potatoes"
4840,"L5","Malt extract","17.87.391.166.1954",,"A.16.04.014","Malt extract"
4541,"L5","Mango chutney","17.26.323.695.1655",,"A.16.07.004","Mango chutney"
4758,"L5","Marjoram","20.54.32.671.1872",,"I.16.01.012","Marjoram"
3492,"L5","Marzipan","19.27.383.427.606",,"A.10.04.003","Marzipan"
3850,"L5","Marzipan pie","10.36.353.647.964",,"A.01.07.001.047","Marzipan pie"
3858,"L5","Mashed potato powder","18.96.130.418.972",,"A.03.01.005","Mashed potato powder"
4305,"L5","Matzo","10.18.401.520.1419",,"A.01.04.005.008","Matzo"
2943,"L5","Meat balls","4.31.126.47.57",,"A.19.05.002","Meat balls"
4006,"L5","Meat extract","17.87.391.166.1120",,"A.16.04.013","Meat extract"
3469,"L5","Meat in aspic","4.31.126.47.583",,"A.06.10.003","Meat in aspic"
4023,"L5","Meat stew","4.31.126.47.1137",,"A.19.05.004","Meat stew"
3847,"L5","Meringue tart","10.36.64.280.961",,"I.01.07.001.071","Meringue tart"
3443,"L5","Milk powder, skimmed","14.69.246.399.557",,"A.08.03.003.003","Milk powder, skimmed"
4434,"L5","Milk protein","12.58.248.943.1548",,"A.08.07.002","Milk protein"
4765,"L5","Millet flour","10.22.78.1127.1879",,"A.01.03.008.005","Millet flour"
3679,"L5","Millet groats","10.22.188.540.793",,"A.01.03.008.006","Millet groats"
4545,"L5","Mint sauce","17.26.343.129.1659",,"A.16.05.010","Mint sauce"
4542,"L5","Mixed chutney","17.26.323.695.1656",,"A.16.07.005","Mixed chutney"
3142,"L5","Mixed dried fruits","8.80.128.184.256",,"A.05.09.001","Mixed dried fruits"
4231,"L5","Mixed pickle","17.26.323.415.1345",,"A.16.07.010","Mixed pickle"
4698,"L5","Mixture of grains","10.22.82.1094.1812",,"A.01.02.010.001","Mixture of grains"
3498,"L5","Molasses","19.100.385.431.612",,"A.10.06.001","Molasses"
4024,"L5","Moussaka","4.31.126.47.1138",,"I.19.03.003.001","Moussaka"
3687,"L5","Muffins","10.36.64.280.801",,"A.01.07.001.036","Muffins"
3518,"L5","Mushroom soup","4.91.361.443.632",,"A.19.10.008","Mushroom soup"
3089,"L5","Mustard, hot","17.26.343.136.203",,"A.16.05.003","Mustard, hot"
3091,"L5","Mustard, mild","17.26.343.136.205",,"A.16.05.002","Mustard, mild"
3093,"L5","Mustard, sweet","17.26.343.136.207",,"A.16.05.001","Mustard, sweet"
4045,"L5","Nectar, apple","9.48.170.743.1159",,"A.12.03.007","Nectar, Apple"
4046,"L5","Nectar, apricot","9.48.170.744.1160",,"I.12.03.008","Nectar, Apricot"
3630,"L5","Nectar, banana","9.48.170.510.744",,"A.12.03.006","Nectar, Banana"
4656,"L5","Nectar, mango","9.48.170.1065.1770",,"A.12.03.001","Nectar, Mango"
4148,"L5","Nectar, orange","9.48.170.792.1262",,"A.12.03.004","Nectar, Orange"
4047,"L5","Nectar, peach","9.48.170.745.1161",,"A.12.03.002","Nectar, Peach"
4351,"L5","Nectar, pear","9.48.170.898.1465",,"A.12.03.003","Nectar, Pear"
4208,"L5","Nectar, pineapple","9.48.170.815.1322",,"A.12.03.005","Nectar, Pineapple"
4167,"L5","New potatoes","18.97.289.174.1281",,"A.03.01.001","New potatoes"
4379,"L5","Non dairy coffee creamer","16.66.120.124.1493",,"A.08.09.003","Non dairy coffee creamer"
3989,"L5","Noodle, rice","10.76.280.314.1103",,"A.01.05.002","Noodle, rice"
3168,"L5","Nougat","19.27.383.193.282",,"A.10.04.014","Nougat"
3833,"L5","Oat bran","10.22.80.639.947",,"A.01.03.005.001","Oat bran"
3662,"L5","Oat flour","10.22.78.527.776",,"A.01.03.005.002","Oat flour"
3680,"L5","Oat groats","10.22.188.541.794",,"A.01.03.005.003","Oat groats"
3215,"L5","Oat porridge","10.19.56.232.329",,"A.01.06.007.001","Oat porridge"
4381,"L5","Oats drink","16.66.120.125.1495",,"A.08.09.004","Oats drink"
4020,"L5","Omelette with vegetables","4.31.126.41.1134",,"A.19.08.004","Omelette with vegetables"
4021,"L5","Omelette, plain","4.31.126.41.1135",,"A.19.08.001","Omelette, plain"
4688,"L5","Oral rehydration products","16.45.125.1087.1802",,"A.18.05.004","Oral rehydration products"
4004,"L5","Oyster sauce","17.26.343.141.1118",,"I.16.08.009.002","Oyster sauce"
3306,"L5","Pancakes","10.36.405.299.420",,"A.01.07.001.028","Pancakes"
4580,"L5","Pasta, gluten free","10.76.280.314.1694",,"A.01.05.015","Pasta, gluten free"
3877,"L5","Pastrami, beef","13.83.107.624.991",,"A.06.08.012","Pastrami, beef"
3880,"L5","Pastrami, pork","13.83.107.44.994",,"A.06.08.011","Pastrami, pork"
3800,"L5","Pate, chicken liver","13.68.221.620.914",,"A.06.11.003","Pate, chicken liver"
3801,"L5","Pate, goose liver","13.68.221.621.915",,"A.06.11.002","Pate, goose liver"
3802,"L5","Pate, pork liver","13.68.221.622.916",,"A.06.11.004","Pate, pork liver"
4271,"L5","Perry","1.111.432.848.1385",,"A.14.04.002","Perry"
4756,"L5","Pickling spice","17.89.346.1123.1870",,"A.16.03.006","Pickling spice"
3648,"L5","Pita bread","10.18.401.520.762",,"A.01.04.005.007","Pita bread"
3824,"L5","Pizza base, cooked","10.18.401.636.938",,"I.19.01.002.009","Pizza base, cooked"
3527,"L5","Poached eggs","5.79.189.451.641",,"A.19.08.007","Poached eggs"
4511,"L5","Potato baked","18.97.289.174.1625",,"A.03.01.008","Potato baked"
4512,"L5","Potato boiled","18.97.289.174.1626",,"A.03.01.006","Potato boiled"
2954,"L5","Potato croquettes","4.31.126.52.68",,"A.03.01.009","Potato croquettes"
4394,"L5","Potato flakes","18.96.130.418.1508",,"A.03.01.004","Potato flakes"
3477,"L5","Potato flour","18.96.130.418.591",,"A.03.01.011","Potato flour"
3762,"L5","Potato starch","12.95.288.595.876",,"A.03.01.010","Potato starch"
3472,"L5","Potatoes and cheese meal","4.31.126.52.586",,"A.19.03.004","Potatoes and cheese meal"
3165,"L5","Pralines","19.27.90.189.279",,"A.10.03.010","Pralines"
2939,"L5","Prepared fish salad","4.31.126.43.53",,"A.19.11.009","Prepared fish salad"
4083,"L5","Prepared legume (beans) salad","4.91.336.759.1197",,"A.19.11.006","Prepared legume (beans) salad"
3001,"L5","Prepared meat salad","4.91.336.76.115",,"A.19.11.008","Prepared meat salad"
3003,"L5","Prepared mixed egg/meat/fish/vegetable salad","4.91.336.78.117",,"A.19.11.010","Prepared mixed egg/meat/fish/vegetable salad"
4899,"L5","Prepared pasta salad","4.91.336.1204.2013",,"A.19.11.004","Prepared pasta salad"
3642,"L5","Pretzels","10.18.210.519.756",,"A.20.01.006","Pretzels"
3690,"L5","Profiterole","10.36.92.548.804",,"A.01.07.001.029","Profiterole"
4003,"L5","Protein and amino acids supplements","16.46.256.727.1117",,"A.18.02.005","Protein and amino acids supplements"
4824,"L5","Protein and protein components for sports people","16.45.157.1167.1938",,"A.18.03.003","Protein and protein components for sports people"
3378,"L5","Punch","1.72.272.359.492",,"A.14.07.002","Punch"
4885,"L5","Quail eggs","5.104.429.1101.1999",,"A.09.01.007","Quail eggs"
3004,"L5","Quark","14.23.161.79.118",,"A.08.08.001","Quark"
3256,"L5","Quinoa grain","10.22.82.259.370",,"I.01.02.010.006","Quinoa grain"
4026,"L5","Ratatouille","4.31.126.54.1140",,"A.19.07.007","Ratatouille"
3090,"L5","Ready-to-eat meal for infants and young children","7.84.318.138.204",,"A.17.06","Ready-to-eat meal for infants and young children"
3694,"L5","Rhubarb flan","10.36.353.290.808",,"A.01.07.001.031","Rhubarb flan"
4028,"L5","Rice and meat meal","4.31.282.58.1142",,"A.19.02.002","Rice and meat meal"
4029,"L5","Rice and vegetables meal","4.31.282.58.1143",,"A.19.02.001","Rice and vegetables meal"
4242,"L5","Rice drink","16.66.120.125.1356",,"A.08.09.005","Rice drink"
3663,"L5","Rice flour","10.22.78.528.777",,"A.01.03.006.001","Rice flour"
3825,"L5","Rice porridge","10.19.56.232.939",,"A.01.06.007.002","Rice porridge"
4309,"L5","Rice starch","12.95.325.870.1423",,"A.01.03.006.004","Rice starch"
4807,"L5","Rice, meat, and vegetables meal","4.31.282.58.1921",,"A.19.02.003","Rice, meat, and vegetables meal"
3242,"L5","Rice, popped","10.19.297.247.356",,"A.01.06.004.004","Rice, popped"
2957,"L5","Roesti","4.31.126.52.71",,"I.03.01.014","Roesti"
3388,"L5","Rum","1.105.403.368.502",,"A.14.06.005","Rum"
4820,"L5","Rum essence","12.44.136.1163.1934",,"A.16.09.006","Rum essence"
3212,"L5","Rusk, wholemeal","10.18.332.231.326",,"A.01.04.005.006","Rusk, wholemeal"
4793,"L5","Rye flour, medium","10.22.78.529.1907",,"A.01.03.002.003","Rye flour, medium"
3664,"L5","Rye flour, wholemeal","10.22.78.529.778",,"A.01.03.002.004","Rye flour, wholemeal"
3674,"L5","Rye grain","10.22.82.536.788",,"A.01.02.004","Rye grain"
4795,"L5","Rye starch","12.95.333.1150.1909",,"A.01.03.002.006","Rye starch"
4735,"L5","Saccharine","15.14.334.1111.1849",,"A.10.02.002.001","Saccharine"
3079,"L5","Salsa","17.26.343.129.193",,"A.16.05.013","Salsa"
3126,"L5","Salt","17.89.338.168.240",,"A.16.04.001","Salt"
3128,"L5","Salt, flavoured","17.89.338.170.242",,"A.16.04.006","Salt, flavoured"
3130,"L5","Salt, iodised","17.89.338.172.244",,"A.16.04.003","Salt, iodised"
3854,"L5","Salt, iodised and fluoridated","17.89.338.650.968",,"A.16.04.005","Salt, iodised and fluoridated"
