Country,Land_Use,habitat_id,habitat,species_group,abs_CF_cty
North Macedonia,cropland,14,Urban_Intense,Reptiles,8.76E-14
Turkey,cropland,14,Urban_Intense,Amphibians,2.01E-14
Turkey,cropland,15,Urban_Light,Amphibians,1.82E-14
Turkey,cropland,13,Plantation_Minimal,Amphibians,2.33E-15
Turkey,cropland,4,Cropland_Minimal,Amphibians,1.46E-14
Turkey,cropland,2.5,Cropland_LightIntense,Amphibians,1.76E-14
Turkey,cropland,16,Urban_Minimal,Amphibians,1.66E-14
Turkey,cropland,11.5,Plantation_LightIntense,Amphibians,2.45E-14
Sao Tome and Principe,cropland,2.5,Cropland_LightIntense,Birds,1.20E-10
Turkey,cropland,13,Plantation_Minimal,Birds,1.29E-14
Turkey,cropland,4,Cropland_Minimal,Birds,7.23E-14
Turkey,cropland,15,Urban_Light,Birds,1.16E-13
Turkey,cropland,11.5,Plantation_LightIntense,Birds,1.35E-13
Turkey,cropland,14,Urban_Intense,Birds,1.30E-13
Turkey,cropland,16,Urban_Minimal,Birds,1.10E-13
Turkey,cropland,16,Urban_Minimal,Mammals,2.07E-13
Turkey,cropland,11.5,Plantation_LightIntense,Mammals,2.54E-13
Turkey,cropland,2.5,Cropland_LightIntense,Mammals,1.99E-13
Turkey,cropland,15,Urban_Light,Mammals,2.21E-13
Turkey,cropland,4,Cropland_Minimal,Mammals,1.64E-13
Turkey,cropland,13,Plantation_Minimal,Mammals,2.42E-14
Turkey,cropland,14,Urban_Intense,Mammals,2.44E-13
Kuwait,cropland,3,Cropland_Light,Plants,4.13E-14
Turkey,cropland,12.5,Plantation_MinimalLight,Plants,4.20E-12
Turkey,cropland,11,Plantation_Intense,Plants,7.28E-12
Turkey,cropland,4,Cropland_Minimal,Plants,4.33E-12
Nicaragua,cropland,2,Cropland_Intense,Plants,5.02E-10
Turkey,cropland,16,Urban_Minimal,Plants,0
Turkey,cropland,15,Urban_Light,Plants,1.88E-13
Turkey,cropland,14,Urban_Intense,Plants,5.27E-12
Turkey,cropland,4,Cropland_Minimal,Reptiles,3.08E-13
Turkey,cropland,11.5,Plantation_LightIntense,Reptiles,3.50E-13
Turkey,cropland,13,Plantation_Minimal,Reptiles,3.33E-14
Turkey,cropland,2.5,Cropland_LightIntense,Reptiles,3.30E-13
Turkey,cropland,16,Urban_Minimal,Reptiles,3.65E-13
Turkey,cropland,15,Urban_Light,Reptiles,3.67E-13
Turkey,cropland,14,Urban_Intense,Reptiles,3.80E-13
Afghanistan,pasture,8.5,Pasture_LightIntense,Amphibians,1.17E-15
Afghanistan,pasture,10,Pasture_Minimal,Amphibians,1.17E-15
Afghanistan,pasture,8.5,Pasture_LightIntense,Birds,7.00E-14
Afghanistan,pasture,10,Pasture_Minimal,Birds,6.73E-14
Afghanistan,pasture,10,Pasture_Minimal,Mammals,7.61E-14
Afghanistan,pasture,8.5,Pasture_LightIntense,Mammals,7.94E-14
Afghanistan,pasture,8,Pasture_Intense,Plants,4.36E-13
Afghanistan,pasture,10,Pasture_Minimal,Plants,5.88E-14
Afghanistan,pasture,9,Pasture_Light,Plants,3.02E-13
Afghanistan,pasture,10,Pasture_Minimal,Reptiles,1.71E-14
Afghanistan,pasture,8.5,Pasture_LightIntense,Reptiles,1.71E-14
Afghanistan,cropland,2.5,Cropland_LightIntense,Amphibians,8.40E-16
Afghanistan,cropland,11.5,Plantation_LightIntense,Amphibians,2.63E-15
Afghanistan,cropland,16,Urban_Minimal,Amphibians,4.49E-18
Afghanistan,cropland,13,Plantation_Minimal,Amphibians,2.51E-16
Afghanistan,cropland,4,Cropland_Minimal,Amphibians,8.36E-16
Afghanistan,cropland,14,Urban_Intense,Amphibians,9.18E-16
Afghanistan,cropland,15,Urban_Light,Amphibians,8.54E-16
Vanuatu,cropland,2.5,Cropland_LightIntense,Birds,1.03E-10
Afghanistan,cropland,14,Urban_Intense,Birds,1.79E-13
Afghanistan,cropland,4,Cropland_Minimal,Birds,5.78E-14
Afghanistan,cropland,13,Plantation_Minimal,Birds,2.04E-14
Afghanistan,cropland,11.5,Plantation_LightIntense,Birds,2.14E-13
Afghanistan,cropland,16,Urban_Minimal,Birds,5.99E-16
Afghanistan,cropland,15,Urban_Light,Birds,1.05E-13
Afghanistan,cropland,2.5,Cropland_LightIntense,Mammals,6.93E-14
Afghanistan,cropland,14,Urban_Intense,Mammals,1.40E-13
Afghanistan,cropland,4,Cropland_Minimal,Mammals,6.33E-14
Afghanistan,cropland,15,Urban_Light,Mammals,8.33E-14
Afghanistan,cropland,11.5,Plantation_LightIntense,Mammals,1.41E-13
Afghanistan,cropland,13,Plantation_Minimal,Mammals,1.35E-14
Afghanistan,cropland,16,Urban_Minimal,Mammals,1.20E-15
New Caledonia,cropland,2,Cropland_Intense,Plants,3.01E-10
Tonga,cropland,3,Cropland_Light,Plants,8.98E-14
Afghanistan,cropland,4,Cropland_Minimal,Plants,2.70E-13
Afghanistan,cropland,16,Urban_Minimal,Plants,0
Afghanistan,cropland,11,Plantation_Intense,Plants,1.11E-13
Afghanistan,cropland,15,Urban_Light,Plants,2.41E-14
Afghanistan,cropland,12.5,Plantation_MinimalLight,Plants,6.41E-14
Afghanistan,cropland,14,Urban_Intense,Plants,6.76E-13
Afghanistan,cropland,15,Urban_Light,Reptiles,3.96E-14
Afghanistan,cropland,2.5,Cropland_LightIntense,Reptiles,3.76E-14
Afghanistan,cropland,14,Urban_Intense,Reptiles,6.87E-14
Afghanistan,cropland,16,Urban_Minimal,Reptiles,1.15E-15
Afghanistan,cropland,4,Cropland_Minimal,Reptiles,3.75E-14
Afghanistan,cropland,11.5,Plantation_LightIntense,Reptiles,1.22E-13
Afghanistan,cropland,13,Plantation_Minimal,Reptiles,1.16E-14
Oman,pasture,8.5,Pasture_LightIntense,Amphibians,2.81E-16
Oman,pasture,10,Pasture_Minimal,Amphibians,1.68E-16
Oman,pasture,10,Pasture_Minimal,Birds,1.00E-13
Oman,pasture,8.5,Pasture_LightIntense,Birds,1.65E-13
Oman,pasture,8.5,Pasture_LightIntense,Mammals,1.05E-13
Oman,pasture,10,Pasture_Minimal,Mammals,6.35E-14
Oman,pasture,9,Pasture_Light,Plants,3.30E-13
Oman,pasture,8,Pasture_Intense,Plants,4.77E-13
Oman,pasture,10,Pasture_Minimal,Plants,6.43E-14
Oman,pasture,8.5,Pasture_LightIntense,Reptiles,1.94E-13
Oman,pasture,10,Pasture_Minimal,Reptiles,1.18E-13
Oman,cropland,16,Urban_Minimal,Amphibians,2.64E-18
Oman,cropland,2.5,Cropland_LightIntense,Amphibians,7.88E-17
Oman,cropland,4,Cropland_Minimal,Amphibians,4.19E-17
Oman,cropland,13,Plantation_Minimal,Amphibians,1.45E-17
Oman,cropland,11.5,Plantation_LightIntense,Amphibians,1.53E-16
Oman,cropland,14,Urban_Intense,Amphibians,8.87E-17
Oman,cropland,15,Urban_Light,Amphibians,7.84E-17
Martinique,cropland,2.5,Cropland_LightIntense,Birds,1.03E-10
Oman,cropland,11.5,Plantation_LightIntense,Birds,4.61E-13
Oman,cropland,4,Cropland_Minimal,Birds,1.03E-13
Oman,cropland,13,Plantation_Minimal,Birds,4.39E-14
Oman,cropland,16,Urban_Minimal,Birds,7.43E-15
Oman,cropland,14,Urban_Intense,Birds,1.80E-13
Oman,cropland,15,Urban_Light,Birds,1.74E-13
Oman,cropland,15,Urban_Light,Mammals,6.64E-14
Oman,cropland,13,Plantation_Minimal,Mammals,1.36E-14
Oman,cropland,16,Urban_Minimal,Mammals,4.27E-15
Oman,cropland,4,Cropland_Minimal,Mammals,4.49E-14
Oman,cropland,2.5,Cropland_LightIntense,Mammals,6.22E-14
Oman,cropland,14,Urban_Intense,Mammals,7.05E-14
Oman,cropland,11.5,Plantation_LightIntense,Mammals,1.43E-13
Honduras,cropland,2,Cropland_Intense,Plants,2.57E-10
Oman,cropland,16,Urban_Minimal,Plants,0
Oman,cropland,14,Urban_Intense,Plants,3.06E-13
Oman,cropland,4,Cropland_Minimal,Plants,2.46E-13
Oman,cropland,12.5,Plantation_MinimalLight,Plants,2.92E-14
Mongolia,cropland,3,Cropland_Light,Plants,1.11E-13
Oman,cropland,11,Plantation_Intense,Plants,5.05E-14
Oman,cropland,15,Urban_Light,Plants,1.09E-14
Oman,cropland,4,Cropland_Minimal,Reptiles,1.32E-13
Oman,cropland,11.5,Plantation_LightIntense,Reptiles,4.06E-13
Oman,cropland,2.5,Cropland_LightIntense,Reptiles,1.81E-13
Oman,cropland,13,Plantation_Minimal,Reptiles,3.87E-14
Oman,cropland,15,Urban_Light,Reptiles,1.86E-13
Oman,cropland,14,Urban_Intense,Reptiles,1.89E-13
Oman,cropland,16,Urban_Minimal,Reptiles,7.19E-15
Kazakhstan,pasture,8.5,Pasture_LightIntense,Amphibians,2.28E-16
Kazakhstan,pasture,10,Pasture_Minimal,Amphibians,2.12E-16
Kazakhstan,pasture,8.5,Pasture_LightIntense,Birds,8.93E-14
Kazakhstan,pasture,10,Pasture_Minimal,Birds,8.62E-14
Kazakhstan,pasture,10,Pasture_Minimal,Mammals,9.60E-14
Kazakhstan,pasture,8.5,Pasture_LightIntense,Mammals,1.02E-13
Kazakhstan,pasture,8,Pasture_Intense,Plants,2.14E-13
Kazakhstan,pasture,9,Pasture_Light,Plants,1.48E-13
Kazakhstan,pasture,10,Pasture_Minimal,Plants,2.87E-14
Kazakhstan,pasture,10,Pasture_Minimal,Reptiles,9.76E-15
Kazakhstan,pasture,8.5,Pasture_LightIntense,Reptiles,9.84E-15
Kyrgyzstan,pasture,8.5,Pasture_LightIntense,Amphibians,2.56E-15
Kyrgyzstan,pasture,10,Pasture_Minimal,Amphibians,2.48E-15
Kyrgyzstan,pasture,8.5,Pasture_LightIntense,Birds,1.83E-13
Kyrgyzstan,pasture,10,Pasture_Minimal,Birds,1.77E-13
Kyrgyzstan,pasture,10,Pasture_Minimal,Mammals,1.62E-13
Kyrgyzstan,pasture,8.5,Pasture_LightIntense,Mammals,1.72E-13
Kyrgyzstan,pasture,8,Pasture_Intense,Plants,9.41E-13
Kyrgyzstan,pasture,9,Pasture_Light,Plants,6.52E-13
Kyrgyzstan,pasture,10,Pasture_Minimal,Plants,1.27E-13
Kyrgyzstan,pasture,10,Pasture_Minimal,Reptiles,6.08E-14
Kyrgyzstan,pasture,8.5,Pasture_LightIntense,Reptiles,6.11E-14
Tajikistan,pasture,8.5,Pasture_LightIntense,Amphibians,2.74E-15
Tajikistan,pasture,10,Pasture_Minimal,Amphibians,2.66E-15
Tajikistan,pasture,8.5,Pasture_LightIntense,Birds,1.19E-13
Tajikistan,pasture,10,Pasture_Minimal,Birds,1.15E-13
Tajikistan,pasture,10,Pasture_Minimal,Mammals,1.69E-13
Tajikistan,pasture,8.5,Pasture_LightIntense,Mammals,1.81E-13
Tajikistan,pasture,8,Pasture_Intense,Plants,1.48E-12
Tajikistan,pasture,9,Pasture_Light,Plants,1.03E-12
Tajikistan,pasture,10,Pasture_Minimal,Plants,2.00E-13
Tajikistan,pasture,10,Pasture_Minimal,Reptiles,1.50E-13
Tajikistan,pasture,8.5,Pasture_LightIntense,Reptiles,1.50E-13
Turkmenistan,pasture,8.5,Pasture_LightIntense,Amphibians,9.42E-17
Turkmenistan,pasture,10,Pasture_Minimal,Amphibians,9.37E-17
Turkmenistan,pasture,8.5,Pasture_LightIntense,Birds,6.69E-14
Turkmenistan,pasture,10,Pasture_Minimal,Birds,6.48E-14
Turkmenistan,pasture,10,Pasture_Minimal,Mammals,7.08E-14
Turkmenistan,pasture,8.5,Pasture_LightIntense,Mammals,7.44E-14
Turkmenistan,pasture,8,Pasture_Intense,Plants,1.49E-13
Turkmenistan,pasture,9,Pasture_Light,Plants,1.03E-13
Turkmenistan,pasture,10,Pasture_Minimal,Plants,2.01E-14
Turkmenistan,pasture,10,Pasture_Minimal,Reptiles,1.04E-13
Turkmenistan,pasture,8.5,Pasture_LightIntense,Reptiles,1.04E-13
Uzbekistan,pasture,8.5,Pasture_LightIntense,Amphibians,7.76E-16
Uzbekistan,pasture,10,Pasture_Minimal,Amphibians,7.64E-16
Uzbekistan,pasture,8.5,Pasture_LightIntense,Birds,8.77E-14
Uzbekistan,pasture,10,Pasture_Minimal,Birds,8.51E-14
Uzbekistan,pasture,10,Pasture_Minimal,Mammals,9.57E-14
Uzbekistan,pasture,8.5,Pasture_LightIntense,Mammals,1.01E-13
Uzbekistan,pasture,8,Pasture_Intense,Plants,3.45E-13
Uzbekistan,pasture,9,Pasture_Light,Plants,2.39E-13
Uzbekistan,pasture,10,Pasture_Minimal,Plants,4.65E-14
Uzbekistan,pasture,10,Pasture_Minimal,Reptiles,7.57E-14
Uzbekistan,pasture,8.5,Pasture_LightIntense,Reptiles,7.60E-14
Kazakhstan,cropland,11.5,Plantation_LightIntense,Amphibians,3.42E-16
Kazakhstan,cropland,4,Cropland_Minimal,Amphibians,2.42E-16
Kazakhstan,cropland,15,Urban_Light,Amphibians,2.75E-16
Kazakhstan,cropland,14,Urban_Intense,Amphibians,3.05E-16
Kazakhstan,cropland,13,Plantation_Minimal,Amphibians,3.26E-17
Kazakhstan,cropland,2.5,Cropland_LightIntense,Amphibians,2.78E-16
Kazakhstan,cropland,16,Urban_Minimal,Amphibians,2.40E-16
Kazakhstan,cropland,11.5,Plantation_LightIntense,Birds,1.16E-13
Kazakhstan,cropland,15,Urban_Light,Birds,1.03E-13
Kazakhstan,cropland,16,Urban_Minimal,Birds,9.56E-14
Kazakhstan,cropland,13,Plantation_Minimal,Birds,1.10E-14
Kazakhstan,cropland,14,Urban_Intense,Birds,1.09E-13
Dominica,cropland,2.5,Cropland_LightIntense,Birds,1.01E-10
Kazakhstan,cropland,4,Cropland_Minimal,Birds,7.79E-14
Kazakhstan,cropland,14,Urban_Intense,Mammals,8.07E-14
Kazakhstan,cropland,11.5,Plantation_LightIntense,Mammals,9.85E-14
Kazakhstan,cropland,4,Cropland_Minimal,Mammals,6.71E-14
Kazakhstan,cropland,15,Urban_Light,Mammals,7.44E-14
Kazakhstan,cropland,16,Urban_Minimal,Mammals,6.69E-14
Kazakhstan,cropland,2.5,Cropland_LightIntense,Mammals,7.26E-14
Kazakhstan,cropland,13,Plantation_Minimal,Mammals,9.38E-15
Kazakhstan,cropland,4,Cropland_Minimal,Plants,2.65E-13
Kazakhstan,cropland,14,Urban_Intense,Plants,3.19E-13
Ecuador,cropland,2,Cropland_Intense,Plants,2.36E-10
Kazakhstan,cropland,15,Urban_Light,Plants,1.14E-14
Kazakhstan,cropland,12.5,Plantation_MinimalLight,Plants,2.09E-13
Kazakhstan,cropland,11,Plantation_Intense,Plants,3.62E-13
Kazakhstan,cropland,16,Urban_Minimal,Plants,0
Finland,cropland,3,Cropland_Light,Plants,1.43E-13
Kazakhstan,cropland,14,Urban_Intense,Reptiles,7.82E-15
Kazakhstan,cropland,13,Plantation_Minimal,Reptiles,8.14E-16
Kazakhstan,cropland,11.5,Plantation_LightIntense,Reptiles,8.53E-15
Kazakhstan,cropland,16,Urban_Minimal,Reptiles,7.58E-15
Kazakhstan,cropland,2.5,Cropland_LightIntense,Reptiles,7.73E-15
Kazakhstan,cropland,4,Cropland_Minimal,Reptiles,7.28E-15
Kazakhstan,cropland,15,Urban_Light,Reptiles,7.71E-15
Kyrgyzstan,cropland,11.5,Plantation_LightIntense,Amphibians,2.43E-15
Kyrgyzstan,cropland,4,Cropland_Minimal,Amphibians,2.26E-15
Kyrgyzstan,cropland,15,Urban_Light,Amphibians,2.41E-15
Kyrgyzstan,cropland,14,Urban_Intense,Amphibians,2.56E-15
Kyrgyzstan,cropland,13,Plantation_Minimal,Amphibians,2.31E-16
Kyrgyzstan,cropland,2.5,Cropland_LightIntense,Amphibians,2.36E-15
Kyrgyzstan,cropland,16,Urban_Minimal,Amphibians,2.26E-15
Kyrgyzstan,cropland,11.5,Plantation_LightIntense,Birds,2.27E-13
Kyrgyzstan,cropland,15,Urban_Light,Birds,1.76E-13
Kyrgyzstan,cropland,16,Urban_Minimal,Birds,1.65E-13
Kyrgyzstan,cropland,13,Plantation_Minimal,Birds,2.17E-14
Kyrgyzstan,cropland,14,Urban_Intense,Birds,1.88E-13
Solomon Islands,cropland,2.5,Cropland_LightIntense,Birds,5.17E-11
Kyrgyzstan,cropland,4,Cropland_Minimal,Birds,1.30E-13
Kyrgyzstan,cropland,14,Urban_Intense,Mammals,1.82E-13
Kyrgyzstan,cropland,11.5,Plantation_LightIntense,Mammals,3.10E-13
Kyrgyzstan,cropland,4,Cropland_Minimal,Mammals,1.51E-13
Kyrgyzstan,cropland,15,Urban_Light,Mammals,1.69E-13
Kyrgyzstan,cropland,16,Urban_Minimal,Mammals,1.56E-13
Kyrgyzstan,cropland,2.5,Cropland_LightIntense,Mammals,1.61E-13
Kyrgyzstan,cropland,13,Plantation_Minimal,Mammals,2.95E-14
Kyrgyzstan,cropland,4,Cropland_Minimal,Plants,7.08E-13
Kyrgyzstan,cropland,14,Urban_Intense,Plants,8.92E-13
Madagascar,cropland,2,Cropland_Intense,Plants,2.35E-10
Kyrgyzstan,cropland,15,Urban_Light,Plants,3.19E-14
Kyrgyzstan,cropland,12.5,Plantation_MinimalLight,Plants,3.30E-13
Kyrgyzstan,cropland,11,Plantation_Intense,Plants,5.70E-13
Kyrgyzstan,cropland,16,Urban_Minimal,Plants,0
Turkmenistan,cropland,3,Cropland_Light,Plants,1.88E-13
Kyrgyzstan,cropland,14,Urban_Intense,Reptiles,6.70E-14
Kyrgyzstan,cropland,13,Plantation_Minimal,Reptiles,7.05E-15
Kyrgyzstan,cropland,11.5,Plantation_LightIntense,Reptiles,7.39E-14
Kyrgyzstan,cropland,16,Urban_Minimal,Reptiles,6.55E-14
Kyrgyzstan,cropland,2.5,Cropland_LightIntense,Reptiles,6.59E-14
Kyrgyzstan,cropland,4,Cropland_Minimal,Reptiles,6.54E-14
Kyrgyzstan,cropland,15,Urban_Light,Reptiles,6.63E-14
Tajikistan,cropland,11.5,Plantation_LightIntense,Amphibians,3.22E-15
Tajikistan,cropland,4,Cropland_Minimal,Amphibians,2.89E-15
Tajikistan,cropland,15,Urban_Light,Amphibians,2.99E-15
Tajikistan,cropland,14,Urban_Intense,Amphibians,3.09E-15
Tajikistan,cropland,13,Plantation_Minimal,Amphibians,3.07E-16
Tajikistan,cropland,2.5,Cropland_LightIntense,Amphibians,3.00E-15
Tajikistan,cropland,16,Urban_Minimal,Amphibians,2.88E-15
Tajikistan,cropland,11.5,Plantation_LightIntense,Birds,8.66E-14
Tajikistan,cropland,15,Urban_Light,Birds,1.36E-13
Tajikistan,cropland,16,Urban_Minimal,Birds,1.20E-13
Tajikistan,cropland,13,Plantation_Minimal,Birds,8.24E-15
Tajikistan,cropland,14,Urban_Intense,Birds,1.49E-13
Saint Lucia,cropland,2.5,Cropland_LightIntense,Birds,5.02E-11
Tajikistan,cropland,4,Cropland_Minimal,Birds,1.02E-13
Tajikistan,cropland,14,Urban_Intense,Mammals,2.05E-13
Tajikistan,cropland,11.5,Plantation_LightIntense,Mammals,1.36E-13
Tajikistan,cropland,4,Cropland_Minimal,Mammals,1.78E-13
Tajikistan,cropland,15,Urban_Light,Mammals,1.87E-13
Tajikistan,cropland,16,Urban_Minimal,Mammals,1.66E-13
Tajikistan,cropland,2.5,Cropland_LightIntense,Mammals,1.91E-13
Tajikistan,cropland,13,Plantation_Minimal,Mammals,1.29E-14
Tajikistan,cropland,4,Cropland_Minimal,Plants,1.29E-12
Tajikistan,cropland,14,Urban_Intense,Plants,1.57E-12
Guatemala,cropland,2,Cropland_Intense,Plants,2.25E-10
Tajikistan,cropland,15,Urban_Light,Plants,5.60E-14
Tajikistan,cropland,12.5,Plantation_MinimalLight,Plants,5.66E-13
Tajikistan,cropland,11,Plantation_Intense,Plants,9.80E-13
Tajikistan,cropland,16,Urban_Minimal,Plants,0
Pakistan,cropland,3,Cropland_Light,Plants,2.34E-13
Tajikistan,cropland,14,Urban_Intense,Reptiles,1.77E-13
Tajikistan,cropland,13,Plantation_Minimal,Reptiles,1.48E-14
Tajikistan,cropland,11.5,Plantation_LightIntense,Reptiles,1.56E-13
Tajikistan,cropland,16,Urban_Minimal,Reptiles,1.57E-13
Tajikistan,cropland,2.5,Cropland_LightIntense,Reptiles,1.68E-13
Tajikistan,cropland,4,Cropland_Minimal,Reptiles,1.67E-13
Tajikistan,cropland,15,Urban_Light,Reptiles,1.68E-13
Turkmenistan,cropland,11.5,Plantation_LightIntense,Amphibians,2.56E-16
Turkmenistan,cropland,4,Cropland_Minimal,Amphibians,7.24E-17
Turkmenistan,cropland,15,Urban_Light,Amphibians,8.12E-17
Turkmenistan,cropland,14,Urban_Intense,Amphibians,1.29E-16
Turkmenistan,cropland,13,Plantation_Minimal,Amphibians,2.44E-17
