Livsmedelsnummer,Livsmedelsnamn,Råvara nivå 1,Andel,Inkluderar,Tillagningsprocess  nivå 1,Konverteringsfaktor nivå 1,Publikation nivå 1,Foodex2 nivå 1,Rå mängd beräknad,Beräkning rå mängd,Råvara nivå 2,Tillagningsprocess nivå 2,Konverteringsfaktor nivå 2,Publikation nivå 2,Foodex2 nivå 2,Kommentar,
23,Gravlaxsås hovmästarsås,Salt,2,"Havssalt, mineralsalt",Rå,1,SLV - Riktlinjer för livsmedel,A042P,2,"2 * 1,00",,,,,,Faktor = logisk slutledning,
23,Gravlaxsås hovmästarsås,Övrigt,0,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc",Rå,1,SLV - Riktlinjer för livsmedel,A042Z_R,0,"0 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
25,Remouladsås,Olja rapsolja,44,,Rå,1,SLV - Riktlinjer för livsmedel,A036V,44,"44 * 1,00",Raps,Juice drickfärdig,2.4,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015M,,
25,Remouladsås,Olja olivolja,32,,Rå,1,SLV - Riktlinjer för livsmedel,A036P,32,"32 * 1,00",Oliver,Juice drickfärdig,2,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A016M,,
25,Remouladsås,Äggula,7,,Rå,1,SLV - Riktlinjer för livsmedel,A031S,7,"7 * 1,00",,,,,,Faktor = logisk slutledning,
25,Remouladsås,Gurka ,7,,Tillagad,1.1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00JM,7.7,"7 * 1,10",,,,,,,
25,Remouladsås,Vatten,3,,Rå,1,SLV - Riktlinjer för livsmedel,A03DL,3,"3 * 1,00",,,,,,Faktor=logiskt slutledning,
25,Remouladsås,Citron,2,,Juice drickfärdig,1.6,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A01BY,3.2,"2 * 1,60",,,,,,,
25,Remouladsås,Gräslök,1,,Rå,1,SLV - Riktlinjer för livsmedel,A00XD,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
25,Remouladsås,Persilja,1,,Rå,1,SLV - Riktlinjer för livsmedel,A00YE,1,"1 * 1,00",,,,,,Faktor=logisk slutledning,
25,Remouladsås,Senapsfrön,1,,Rå,1,-,A015S,1,"1 * 1,00",,,,,,,
25,Remouladsås,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc",Rå,1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
25,Remouladsås,Salt,1,"Havssalt, mineralsalt",Rå,1,SLV - Riktlinjer för livsmedel,A042P,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
26,Vinägrett dressing fett 45%,Olja rapsolja,47,,Rå,1,SLV - Riktlinjer för livsmedel,A036V,47,"47 * 1,00",Raps,Juice drickfärdig,2.4,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015M,,
26,Vinägrett dressing fett 45%,Vinäger ,32,"Äppelcidervinäger, rödvinsvinäger, Ättiksyra","Rå, tillagad ",1,-,A044M,32,"32 * 1,00",,,,,,Faktor = logisk slutledning,
26,Vinägrett dressing fett 45%,Vatten,13,,Rå,1,SLV - Riktlinjer för livsmedel,A03DL,13,"13 * 1,00",,,,,,Faktor=logiskt slutledning,
26,Vinägrett dressing fett 45%,Salt,4,"Havssalt, mineralsalt",Rå,1,SLV - Riktlinjer för livsmedel,A042P,4,"4 * 1,00",,,,,,Faktor = logisk slutledning,
26,Vinägrett dressing fett 45%,Senapsfrön,2,,Rå,1,-,A015S,2,"2 * 1,00",,,,,,,
26,Vinägrett dressing fett 45%,Vitlök,2,,Rå,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00GZ,2,"2 * 1,00",,,,,,,
29,Smör fett 80 %,Smör,99,,Rå,1,Användarhjälp - Riktlinjer för beräknade livsmedel,A039C,99,"99 * 1,00",Mjölk,"Rå, tillagad ",20.5,SLV - Riktlinjer för livsmedel,A02LY,"Faktor = logisk slutledning
Faktor för nivå 2 beräknad utifrån att 100 g mjölk med en fetthalt på 4% ger 10 g grädde med 40% fett. Grädden kan i sin tur kärnas till 4,9 g smör med 82% fetthalt och 5,1 g kärnmjölk.",
29,Smör fett 80 %,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc",Rå,1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
35,Olivolja,Olja olivolja,100,,Rå,1,SLV - Riktlinjer för livsmedel,A036P,100,"100 * 1,00",Oliver,Juice drickfärdig,2,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A016M,,
51,Gurkmajonnäs el gurksallad gatukök,Gurka,33,,Rå,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00JM,33,"33 * 1,00",,,,,,,
51,Gurkmajonnäs el gurksallad gatukök,Olja rapsolja,18,,Rå,1,SLV - Riktlinjer för livsmedel,A036V,18,"18 * 1,00",Raps,Juice drickfärdig,2.4,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015M,,
51,Gurkmajonnäs el gurksallad gatukök,Socker,11,"Råsocker, farinsocker, invertsocker, sockerkulör",Rå,1,SLV - Riktlinjer för livsmedel,A032H,11,"11 * 1,00",Sockerbeta,Rå,6.5,SLV - Riktlinjer för livsmedel,A010T,"Faktor = logisk slutledning

NB! Med ändrad Foodex-kod för socker, stämmer det inte alltid att råvara nivå 2 är sockerbeta.",
51,Gurkmajonnäs el gurksallad gatukök,Äggula,10,,Rå,1,SLV - Riktlinjer för livsmedel,A031S,10,"10 * 1,00",,,,,,Faktor = logisk slutledning,
51,Gurkmajonnäs el gurksallad gatukök,Vatten,9,,Rå,1,SLV - Riktlinjer för livsmedel,A03DL,9,"9 * 1,00",,,,,,Faktor=logiskt slutledning,
51,Gurkmajonnäs el gurksallad gatukök,"Lök (gul, röd)",5,,Rå,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,5,"5 * 1,00",,,,,,,
51,Gurkmajonnäs el gurksallad gatukök,Paprika ,5,,Rå,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00JA,5,"5 * 1,00",,,,,,,
51,Gurkmajonnäs el gurksallad gatukök,Vinäger ,4,"Äppelcidervinäger, rödvinsvinäger, Ättiksyra","Rå, tillagad ",1,-,A044M,4,"4 * 1,00",,,,,,Faktor = logisk slutledning,
51,Gurkmajonnäs el gurksallad gatukök,"Majs, stärkelse",2,"majsstärkelse, maizena","Rå, tillagad ",1.5,"Food in Europe - production, processing and composition, ed Aldén KI och Algers A",A000T,3,"2 * 1,50",,,,,,Råvaran är satt som majskorn. Utbytet för att få majsstärkelse är 66%. ,
51,Gurkmajonnäs el gurksallad gatukök,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc",Rå,1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
51,Gurkmajonnäs el gurksallad gatukök,Senapsfrön,1,,Rå,1,-,A015S,1,"1 * 1,00",,,,,,,
51,Gurkmajonnäs el gurksallad gatukök,Salt,1,"Havssalt, mineralsalt",Rå,1,SLV - Riktlinjer för livsmedel,A042P,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
52,Räkmajonnäs el räksallad gatukök,Olja rapsolja,40,,Rå,1,SLV - Riktlinjer för livsmedel,A036V,40,"40 * 1,00",Raps,Juice drickfärdig,2.4,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015M,,
52,Räkmajonnäs el räksallad gatukök,Vinäger ,1,"Äppelcidervinäger, rödvinsvinäger, Ättiksyra","Rå, tillagad ",1,-,A044M,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
52,Räkmajonnäs el räksallad gatukök,Räkor ,20,,Rå,1,SLV - Riktlinjer för livsmedel,A02GB,20,"20 * 1,00",,,,,,Faktor = logisk slutledning,
52,Räkmajonnäs el räksallad gatukök,Äggula,5,,Rå,1,SLV - Riktlinjer för livsmedel,A031S,5,"5 * 1,00",,,,,,Faktor = logisk slutledning,
52,Räkmajonnäs el räksallad gatukök,Äpple,4,"kvitten, rosenkvitten",Rå,1,SLV - Riktlinjer för livsmedel,A01DH,4,"4 * 1,00",,,,,,Faktor = logisk slutledning,
52,Räkmajonnäs el räksallad gatukök,Övrigt,2,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc",Rå,1,SLV - Riktlinjer för livsmedel,A042Z_R,2,"2 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
52,Räkmajonnäs el räksallad gatukök,Senapsfrön,1,,Rå,1,-,A015S,1,"1 * 1,00",,,,,,,
52,Räkmajonnäs el räksallad gatukök,Salt,1,"Havssalt, mineralsalt",Rå,1,SLV - Riktlinjer för livsmedel,A042P,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
52,Räkmajonnäs el räksallad gatukök,Rödbeta ,25,"Vitbeta, gulbeta",Tillagad,1.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00QG,30,"25 * 1,20",,,,,,,
52,Räkmajonnäs el räksallad gatukök,Socker,1,"Råsocker, farinsocker, invertsocker, sockerkulör",Rå,1,SLV - Riktlinjer för livsmedel,A032H,1,"1 * 1,00",Sockerbeta,Rå,6.5,SLV - Riktlinjer för livsmedel,A010T,"Faktor = logisk slutledning

NB! Med ändrad Foodex-kod för socker, stämmer det inte alltid att råvara nivå 2 är sockerbeta.",
55,Mimosasallad,Äpple,24,"kvitten, rosenkvitten",Rå,1,SLV - Riktlinjer för livsmedel,A01DH,24,"24 * 1,00",,,,,,Faktor = logisk slutledning,
55,Mimosasallad,Apelsin,24,,Rå,1,SLV - Riktlinjer för livsmedel,A01CP,24,"24 * 1,00",,,,,,Faktor = logisk slutledning,
55,Mimosasallad,Nektarin,13,,Rå,1,SLV - Riktlinjer för livsmedel,A01GL,13,"13 * 1,00",,,,,,Faktor = logisk slutledning,
55,Mimosasallad,Persika,13,,Rå,1,SLV - Riktlinjer för livsmedel,A01GL,13,"13 * 1,00",,,,,,Faktor = logisk slutledning,
55,Mimosasallad,Grädde fett >31%,9,vispgrädde,"Rå, tillagad ",1,-,A02MK#F07.A074F,9,"9 * 1,00",Mjölk,"Rå, tillagad ",10,SLV - Riktlinjer för livsmedel,A02LY,"Faktor = logisk slutledning
Faktor för nivå 2 beräknad utifrån att 100g mjölk med fetthalt 4% ger 10 g grädde med 40% fetthalt.",
55,Mimosasallad,Vindruvor,8,,Rå,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A01DX,8,"8 * 1,00",,,,,,,
55,Mimosasallad,Olja rapsolja,4,,Rå,1,SLV - Riktlinjer för livsmedel,A036V,4,"4 * 1,00",Raps,Juice drickfärdig,2.4,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015M,,
55,Mimosasallad,Olja olivolja,3,,Rå,1,SLV - Riktlinjer för livsmedel,A036P,3,"3 * 1,00",Oliver,Juice drickfärdig,2,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A016M,,
55,Mimosasallad,Äggula,1,,Rå,1,SLV - Riktlinjer för livsmedel,A031S,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
55,Mimosasallad,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc",Rå,1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
55,Mimosasallad,Senapsfrön,0,,Rå,1,-,A015S,0,"0 * 1,00",,,,,,,
55,Mimosasallad,Salt,0,"Havssalt, mineralsalt",Rå,1,SLV - Riktlinjer för livsmedel,A042P,0,"0 * 1,00",,,,,,Faktor = logisk slutledning,
55,Mimosasallad,Citron,0,,Juice drickfärdig,1.6,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A01BY,0,"0 * 1,60",,,,,,,
55,Mimosasallad,Vinäger ,0,"Äppelcidervinäger, rödvinsvinäger, Ättiksyra","Rå, tillagad ",1,-,A044M,0,"0 * 1,00",,,,,,Faktor = logisk slutledning,
58,Bearnaisesås,Fett matfettsblandning,52,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A04RT,52,"52 * 1,00",,,,,,Faktor = logisk slutledning,
58,Bearnaisesås,Vatten,20,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,20,"20 * 1,00",,,,,,Faktor=logiskt slutledning,
58,Bearnaisesås,Äggula,14,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A031S,14,"14 * 1,00",,,,,,Faktor = logisk slutledning,
58,Bearnaisesås,Vinäger ,10,"Äppelcidervinäger, rödvinsvinäger, Ättiksyra","Rå, tillagad ",1,-,A044M,10,"10 * 1,00",,,,,,Faktor = logisk slutledning,
58,Bearnaisesås,"Lök (gul, röd)",3,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,3,"3 * 1,00",,,,,,,
58,Bearnaisesås,Persilja,1,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A00YE,1,"1 * 1,00",,,,,,Faktor=logisk slutledning,
58,Bearnaisesås,Salt,0,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,0,"0 * 1,00",,,,,,Faktor = logisk slutledning,
60,Rhode Island sås,Grädde fett <15%,24,matlagningsgrädde,"Rå, tillagad ",1,SLV - Riktlinjer för livsmedel,A02MK#F07.A074F,24,"24 * 1,00",Mjölk,"Rå, tillagad ",3,SLV - Riktlinjer för livsmedel,A02LY,"Faktor= logisk slutledning.
Faktor för nivå 2 beräknad utifrån att 100g mjölk med fetthalt 4% ger 33,3  g grädde med 12% fetthalt.",
60,Rhode Island sås,Grädde fett >31%,16,vispgrädde,"Rå, tillagad ",1,-,A02MK#F07.A074F,16,"16 * 1,00",Mjölk,"Rå, tillagad ",10,SLV - Riktlinjer för livsmedel,A02LY,"Faktor = logisk slutledning
Faktor för nivå 2 beräknad utifrån att 100g mjölk med fetthalt 4% ger 10 g grädde med 40% fetthalt.",
60,Rhode Island sås,Olja rapsolja,15,,Rå,1,SLV - Riktlinjer för livsmedel,A036V,15,"15 * 1,00",Raps,Juice drickfärdig,2.4,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015M,,
60,Rhode Island sås,Vinäger ,2,"Äppelcidervinäger, rödvinsvinäger, Ättiksyra","Rå, tillagad ",1,-,A044M,2,"2 * 1,00",,,,,,Faktor = logisk slutledning,
60,Rhode Island sås,Olja olivolja,11,,Rå,1,SLV - Riktlinjer för livsmedel,A036P,11,"11 * 1,00",Oliver,Juice drickfärdig,2,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A016M,,
60,Rhode Island sås,Tomat ,8,,Pure ,3.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HQ,25.6,"8 * 3,20",,,,,,,
60,Rhode Island sås,Socker,3,"Råsocker, farinsocker, invertsocker, sockerkulör",Rå,1,SLV - Riktlinjer för livsmedel,A032H,3,"3 * 1,00",Sockerbeta,Rå,6.5,SLV - Riktlinjer för livsmedel,A010T,"Faktor = logisk slutledning

NB! Med ändrad Foodex-kod för socker, stämmer det inte alltid att råvara nivå 2 är sockerbeta.",
60,Rhode Island sås,Tomat krossad,14,"tomatkross, krossad tomat, ",Tillagad,1.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HQ,16.8,"14 * 1,20",,,,,,Faktor beräknad 40% tomatjuice och 60% tomat tillagad.,
60,Rhode Island sås,Äggula,2,,Rå,1,SLV - Riktlinjer för livsmedel,A031S,2,"2 * 1,00",,,,,,Faktor = logisk slutledning,
60,Rhode Island sås,Övrigt,2,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc",Rå,1,SLV - Riktlinjer för livsmedel,A042Z_R,2,"2 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
60,Rhode Island sås,Vatten,1,,Rå,1,SLV - Riktlinjer för livsmedel,A03DL,1,"1 * 1,00",,,,,,Faktor=logiskt slutledning,
60,Rhode Island sås,Salt,1,"Havssalt, mineralsalt",Rå,1,SLV - Riktlinjer för livsmedel,A042P,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
60,Rhode Island sås,Citron,1,,Juice drickfärdig,1.6,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A01BY,1.6,"1 * 1,60",,,,,,,
66,Mesost fett ca 30% berik,Vassle,73,,"Rå, tillagad ",1,SLV - Riktlinjer för livsmedel,A02MR_R,73,"73 * 1,00",Mjölk,Tillagad,1.1,SLV - Riktlinjer för livsmedel,A02LY,"Vassle uppstår vid tillverkning av ost, då man med hjälp av löpeenzym får kaseinet i mjölken att koagulera. Används bla i tillverkning av smörgåsfett. Av en liter mjölk får man 0.9 liter vassle.",
66,Mesost fett ca 30% berik,"Mjölk, get",15,,Rå,1,SLV - Riktlinjer för livsmedel,A02MB,15,"15 * 1,00",,,,,,Faktor = logisk slutledning,
66,Mesost fett ca 30% berik,"Mjölk fett 1-2,5 %",6,,"Rå, tillagad ",1,-,A02LZ,6,"6 * 1,00",,,,,,Faktor = logisk slutledning,
66,Mesost fett ca 30% berik,Grädde fett >31%,6,vispgrädde,"Rå, tillagad ",1,-,A02MK#F07.A074F,6,"6 * 1,00",Mjölk,"Rå, tillagad ",10,SLV - Riktlinjer för livsmedel,A02LY,"Faktor = logisk slutledning
Faktor för nivå 2 beräknad utifrån att 100g mjölk med fetthalt 4% ger 10 g grädde med 40% fetthalt.",
68,Messmör fett 5% berik,Vassle,94,,"Rå, tillagad ",1,SLV - Riktlinjer för livsmedel,A02MR_R,94,"94 * 1,00",Mjölk,Tillagad,1.1,SLV - Riktlinjer för livsmedel,A02LY,"Vassle uppstår vid tillverkning av ost, då man med hjälp av löpeenzym får kaseinet i mjölken att koagulera. Används bla i tillverkning av smörgåsfett. Av en liter mjölk får man 0.9 liter vassle.",
68,Messmör fett 5% berik,Socker,5,"Råsocker, farinsocker, invertsocker, sockerkulör",Rå,1,SLV - Riktlinjer för livsmedel,A032H,5,"5 * 1,00",Sockerbeta,Rå,6.5,SLV - Riktlinjer för livsmedel,A010T,"Faktor = logisk slutledning

NB! Med ändrad Foodex-kod för socker, stämmer det inte alltid att råvara nivå 2 är sockerbeta.",
68,Messmör fett 5% berik,Smör,1,,Rå,1,Användarhjälp - Riktlinjer för beräknade livsmedel,A039C,1,"1 * 1,00",Mjölk,"Rå, tillagad ",20.5,SLV - Riktlinjer för livsmedel,A02LY,"Faktor = logisk slutledning
Faktor för nivå 2 beräknad utifrån att 100 g mjölk med en fetthalt på 4% ger 10 g grädde med 40% fett. Grädden kan i sin tur kärnas till 4,9 g smör med 82% fetthalt och 5,1 g kärnmjölk.",
95,Ost hårdost fett 17% ,Ost (hårdost),100,"Ystade hårdostar, kittost, mögelost","Rå, tillagad ",1,-,A02VA,100,"100 * 1,00",,,,,,Faktor = logisk slutledning,
99,Fetaost fett 25% ,"Ost, salladsost",100,fetaost,Rå,1,SLV - Riktlinjer för livsmedel,A02RC,100,"100 * 1,00",,,,,,Faktor=logisk slutledning,
103,Parmesanost hårdost fett 30% ,"Ost, Extra hårdost ex parmesan",100,,"Rå, tillagad ",1,SLV - Riktlinjer för livsmedel,A02ZS,100,"100 * 1,00",Mjölk,"Rå, tillagad ",14.7,SLV - Riktlinjer för livsmedel,A02LY,"Faktor = logisk slutledning
Faktor Råvara nivå 2= walstra (2006), Dairy science and technology",
105,Camembert vitmögelost lätt fett 11%,Ost (hårdost),100,"Ystade hårdostar, kittost, mögelost","Rå, tillagad ",1,-,A02VA,100,"100 * 1,00",,,,,,Faktor = logisk slutledning,
107,Färskost fett 27% typ Philadelphia,"Ost, Färskost",100,"philadelphia, keso, mozarella, Halloumi, ricotta, mascarpone","Rå, tillagad ",1,-,A02QZ,100,"100 * 1,00",,,,,,Faktor = logisk slutledning,
109,Färskost extra light fett 5% typ Philadelphia,"Ost, Färskost",100,"philadelphia, keso, mozarella, Halloumi, ricotta, mascarpone","Rå, tillagad ",1,-,A02QZ,100,"100 * 1,00",,,,,,Faktor = logisk slutledning,
110,Camembert vitmögelost friterad,Ost (hårdost),59,"Ystade hårdostar, kittost, mögelost","Rå, tillagad ",1,-,A02VA,59,"59 * 1,00",,,,,,Faktor = logisk slutledning,
110,Camembert vitmögelost friterad,"Vete, siktat",18,,"Tillagad, adderad",1,-,A003Y,18,"18 * 1,00",,,,,,Faktor = logisk slutledning,
110,Camembert vitmögelost friterad,"Ägg, höna",14,Helt ägg höna,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A031G,14,"14 * 1,00",,,,,,Faktor = logisk slutledning,
110,Camembert vitmögelost friterad,Olja palmolja,4,"Palmolja, palmfett","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A037N,4,"4 * 1,00",Palmfrukt,Juice drickfärdig,1.4,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A016P,"kodningen inkluderar just nu inte Palmkärnolja
",
110,Camembert vitmögelost friterad,"Råg, fullkorn",3,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A003M,3,"3 * 1,00",,,,,,Faktor = logisk slutledning,
