STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,crops,Crops,strucpro,Structure of production,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2021,,0.20,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2022,,0.20,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2023,,0.20,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2024,,0.20,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2025,,0.19,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BA,Bosnia and Herzegovina,2017,,3.59,,e,estimated,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BA,Bosnia and Herzegovina,2018,,3.63,,e,estimated,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BA,Bosnia and Herzegovina,2019,,3.46,,e,estimated,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BA,Bosnia and Herzegovina,2020,,4.51,,e,estimated,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BA,Bosnia and Herzegovina,2021,,3.69,,e,estimated,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BA,Bosnia and Herzegovina,2022,,2.23,,b,break in time series,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BA,Bosnia and Herzegovina,2023,,2.27,,e,estimated,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BA,Bosnia and Herzegovina,2024,,2.74,,e,estimated,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BE,Belgium,2017,,0.52,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BE,Belgium,2018,,0.55,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BE,Belgium,2019,,0.57,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BE,Belgium,2020,,0.62,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BE,Belgium,2021,,0.63,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BE,Belgium,2022,,0.64,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BE,Belgium,2023,,0.64,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BE,Belgium,2024,,0.58,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BE,Belgium,2025,,0.59,,p,provisional,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BG,Bulgaria,2017,,5.01,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BG,Bulgaria,2018,,4.52,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BG,Bulgaria,2019,,5.15,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BG,Bulgaria,2020,,3.09,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BG,Bulgaria,2021,,3.07,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BG,Bulgaria,2022,,3.08,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BG,Bulgaria,2023,,3.18,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BG,Bulgaria,2024,,3.57,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),BG,Bulgaria,2025,,2.70,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CH,Switzerland,2017,,0.18,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CH,Switzerland,2018,,0.19,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CH,Switzerland,2019,,0.18,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CH,Switzerland,2020,,0.18,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CH,Switzerland,2021,,0.18,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CH,Switzerland,2022,,0.18,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CH,Switzerland,2023,,0.18,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CH,Switzerland,2024,,0.16,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CY,Cyprus,2017,,0.26,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CY,Cyprus,2018,,0.29,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CY,Cyprus,2019,,0.28,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CY,Cyprus,2020,,0.24,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CY,Cyprus,2021,,0.25,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CY,Cyprus,2022,,0.27,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CY,Cyprus,2023,,0.27,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CY,Cyprus,2024,,0.28,,p,provisional,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CZ,Czechia,2017,,0.24,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CZ,Czechia,2018,,0.30,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CZ,Czechia,2019,,0.16,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CZ,Czechia,2020,,0.26,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CZ,Czechia,2021,,0.26,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CZ,Czechia,2022,,0.13,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CZ,Czechia,2023,,0.12,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CZ,Czechia,2024,,0.06,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),CZ,Czechia,2025,,0.16,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2017,,0.37,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2018,,0.40,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2019,,0.39,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2020,,0.38,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2021,,0.40,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2022,,0.38,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2023,,0.37,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2024,,0.39,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DK,Denmark,2017,,0.03,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DK,Denmark,2018,,0.03,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DK,Denmark,2019,,0.03,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DK,Denmark,2020,,0.03,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DK,Denmark,2021,,0.03,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DK,Denmark,2022,,0.03,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DK,Denmark,2023,,0.03,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DK,Denmark,2024,,0.03,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),DK,Denmark,2025,,0.01,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EE,Estonia,2017,,0.00,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EE,Estonia,2018,,0.00,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EE,Estonia,2019,,0.00,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EE,Estonia,2020,,0.01,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EE,Estonia,2021,,0.01,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EE,Estonia,2022,,0.01,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EE,Estonia,2023,,0.00,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EE,Estonia,2024,,0.00,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EL,Greece,2017,,13.32,,e,estimated,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EL,Greece,2018,,16.02,,e,estimated,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EL,Greece,2019,,15.01,,e,estimated,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EL,Greece,2020,,15.82,,e,estimated,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EL,Greece,2021,,13.14,,e,estimated,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EL,Greece,2022,,9.43,,e,estimated,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EL,Greece,2023,,10.46,,e,estimated,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EL,Greece,2024,,10.20,,e,estimated,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),EL,Greece,2025,,9.68,,e,estimated,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2017,,60.85,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2018,,56.13,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2019,,56.94,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2020,,55.47,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2021,,56.11,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2022,,45.15,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2023,,50.09,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2024,,55.48,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2025,,48.40,,p,provisional,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FI,Finland,2017,,0.11,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FI,Finland,2018,,0.10,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FI,Finland,2019,,0.09,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FI,Finland,2020,,0.10,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FI,Finland,2021,,0.09,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FI,Finland,2022,,0.09,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FI,Finland,2023,,0.08,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FI,Finland,2024,,0.09,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FI,Finland,2025,,0.08,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FR,France,2017,,5.75,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FR,France,2018,,5.74,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FR,France,2019,,5.66,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FR,France,2020,,6.26,,b,break in time series,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FR,France,2021,,6.19,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FR,France,2022,,5.89,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FR,France,2023,,5.92,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FR,France,2024,,6.08,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),FR,France,2025,,5.62,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),HR,Croatia,2017,,0.45,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),HR,Croatia,2018,,0.49,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),HR,Croatia,2019,,0.32,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),HR,Croatia,2020,,0.40,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,V3100,Tomatoes,AR,Area (cultivation/harvested/production) (1000 ha),HR,Croatia,2021,,0.29,,,,,
