"Category","Country","Farm-to-retail waste"
"Fish","Italy",0.02
"Berries","Poland",0.07
"Cereals","Poland",0.045
"Cereals, incl feed","Poland",0.045
"Fruits","Poland",0.07
"Mushrooms","Poland",0.07
"Nuts","Poland",0.06
"Oil crops","Poland",0.06
"Oil crops, tree","Poland",0.06
"Other","Poland",0.06
"Pulses","Poland",0.06
"Pulses, incl feed","Poland",0.06
"Roots","Poland",0.24
"Seeds","Poland",0.06
"Spices","Poland",0.07
"Stimulants","Poland",0.07
"Sugar crops","Poland",0.045
"Vegetables","Poland",0.07
"Meat","Poland",0.057
"Dairy","Poland",0.017
"Fish","Poland",0.02
"Berries","Spain",0.07
"Cereals","Spain",0.045
"Cereals, incl feed","Spain",0.045
"Fruits","Spain",0.07
"Mushrooms","Spain",0.07
"Nuts","Spain",0.06
"Oil crops","Spain",0.06
"Oil crops, tree","Spain",0.06
"Other","Spain",0.06
"Pulses","Spain",0.06
"Pulses, incl feed","Spain",0.06
"Roots","Spain",0.24
"Seeds","Spain",0.06
"Spices","Spain",0.07
"Stimulants","Spain",0.07
"Sugar crops","Spain",0.045
"Vegetables","Spain",0.07
"Meat","Spain",0.057
"Dairy","Spain",0.017
"Fish","Spain",0.02
"Berries","Sweden",0.07
"Cereals","Sweden",0.045
"Cereals, incl feed","Sweden",0.045
"Fruits","Sweden",0.07
"Mushrooms","Sweden",0.07
"Nuts","Sweden",0.06
"Oil crops","Sweden",0.06
"Oil crops, tree","Sweden",0.06
"Other","Sweden",0.06
"Pulses","Sweden",0.06
"Pulses, incl feed","Sweden",0.06
"Roots","Sweden",0.24
"Seeds","Sweden",0.06
"Spices","Sweden",0.07
"Stimulants","Sweden",0.07
"Sugar crops","Sweden",0.045
"Vegetables","Sweden",0.07
"Meat","Sweden",0.057
"Dairy","Sweden",0.017
"Fish","Sweden",0.02
